ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
VOW3.DE,Volkswagen,XETRA,DEU,XPeng Shares Rise 4% As Overseas Tech Talks And Demand Strength Build,other,GuruFocus.com,2026-04-24T18:31:31Z,https://finance.yahoo.com/markets/stocks/articles/xpeng-shares-rise-4-overseas-183131098.html,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,Is Adidas (XTRA:ADS) Starting To Look Attractive Again After Recent Share Price Slide,ev_tech,Simply Wall St.,2026-04-24T18:09:43Z,https://finance.yahoo.com/markets/stocks/articles/adidas-xtra-ads-starting-look-180943919.html,2026-04-27T06:30:09+00:00
VOW3.DE,Volkswagen,XETRA,DEU,Porsche Agrees To Sell Bugatti Stake To HOF-Led Consortium,other,GuruFocus.com,2026-04-24T17:51:05Z,https://finance.yahoo.com/markets/stocks/articles/porsche-agrees-sell-bugatti-stake-175105346.html,2026-04-27T06:30:09+00:00
BAYN.DE,Bayer,XETRA,DEU,Bayer Advances $7.25 Billion Roundup Settlement Ahead of Key Supreme Court Ruling,other,GuruFocus.com,2026-04-24T17:41:43Z,https://finance.yahoo.com/sectors/healthcare/articles/bayer-advances-7-25-billion-174143922.html,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,Omnicom Gears Up to Report Q1 Earnings: What's in the Cards?,results,Zacks,2026-04-24T16:28:00Z,https://finance.yahoo.com/markets/stocks/articles/omnicom-gears-report-q1-earnings-162800891.html,2026-04-27T06:30:09+00:00
BAYN.DE,Bayer,XETRA,DEU,Omnicom Gears Up to Report Q1 Earnings: What's in the Cards?,results,Zacks,2026-04-24T16:28:00Z,https://finance.yahoo.com/markets/stocks/articles/omnicom-gears-report-q1-earnings-162800891.html,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,SAP Stock Soars After Earnings. AI Hope Defies Software Slump.,results,Barrons.com,2026-04-24T15:45:00Z,https://www.barrons.com/articles/sap-earnings-stock-price-51953666?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,SAP's Q1 Earnings & Revenues Up Y/Y on Cloud Momentum & AI Tailwinds,results,Zacks,2026-04-24T14:50:00Z,https://finance.yahoo.com/markets/stocks/articles/saps-q1-earnings-revenues-y-145000156.html,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,SAP SE (SAP): The Fundamentals Behind the Next Trillion-Dollar Market Cap,other,Insider Monkey,2026-04-24T14:28:49Z,https://finance.yahoo.com/markets/stocks/articles/sap-se-sap-fundamentals-behind-142849647.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,How A Small Target Cut Is Reframing The Story For COFACE (ENXTPA:COFA),other,Simply Wall St.,2026-04-24T14:04:19Z,https://finance.yahoo.com/markets/stocks/articles/small-target-cut-reframing-story-140419898.html,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,Intel is surging but other stocks are struggling after earnings,results,GuruFocus.com,2026-04-24T13:22:43Z,https://finance.yahoo.com/markets/stocks/articles/intel-surging-other-stocks-struggling-132243832.html,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,"SAP Climbs As Profits Beat Amid Software Sector, Middle East War Pressure",results,Investor's Business Daily,2026-04-24T11:40:48Z,https://www.investors.com/news/technology/sap-stock-sap-earnings-q12026/?src=A00220&yptr=yahoo,2026-04-27T06:30:09+00:00
SAP.DE,SAP,XETRA,DEU,Is SAP SE (SAP) Among the Best European Stocks to Buy According to Analysts?,other,Insider Monkey,2026-04-24T10:17:39Z,https://finance.yahoo.com/markets/stocks/articles/sap-se-sap-among-best-101739397.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,China’s EV competition heats up at Beijing 2026 auto show,ev_tech,Reuters Videos,2026-04-24T10:16:36Z,https://finance.yahoo.com/video/china-ev-competition-heats-beijing-101636968.html,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,China’s EV competition heats up at Beijing 2026 auto show,ev_tech,Reuters Videos,2026-04-24T10:16:36Z,https://finance.yahoo.com/video/china-ev-competition-heats-beijing-101636968.html,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,Potential Deutsche Telekom T-Mobile US Merger Could Reshape Global Wireless Leader,merger,Simply Wall St.,2026-04-24T10:03:41Z,https://finance.yahoo.com/markets/stocks/articles/potential-deutsche-telekom-t-mobile-100341325.html,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,Klarna resell sees 75% rise as users earn ‘real money’,other,Just Style,2026-04-24T10:01:44Z,https://www.just-style.com/news/klarna-fashion-resell-growth/,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,Mercedes-Benz warns of weak China luxury car demand,other,Just Auto,2026-04-24T09:47:44Z,https://www.just-auto.com/news/mercedes-weak-china-luxury-car-demand/,2026-04-27T06:30:09+00:00
VOW3.DE,Volkswagen,XETRA,DEU,QuantumScape Q1 Earnings Call Highlights,results,MarketBeat,2026-04-24T08:22:08Z,https://www.marketbeat.com/instant-alerts/quantumscape-q1-earnings-call-highlights-2026-04-24/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,Vizsla Silver advances Panuco project with new contract awards,other,Mining Technology,2026-04-24T08:02:55Z,https://www.mining-technology.com/news/vizsla-silver-advances-panuco-project-new-contract/,2026-04-27T06:30:09+00:00
VOW3.DE,Volkswagen,XETRA,DEU,"Volkswagen unveils China NEV blitz: 20+ models in 2026, AI agents and Level 3 ADAS roadmap",ev_tech,MarketBeat,2026-04-24T06:07:05Z,https://www.marketbeat.com/instant-alerts/volkswagen-unveils-china-nev-blitz-20-models-in-2026-ai-agents-and-level-3-adas-roadmap-2026-04-24/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:30:09+00:00
ENR.DE,Siemens Energy,XETRA,DEU,Three European Stocks That May Be Undervalued In April 2026,other,Simply Wall St.,2026-04-24T05:38:02Z,https://finance.yahoo.com/markets/stocks/articles/three-european-stocks-may-undervalued-053802606.html,2026-04-27T06:30:09+00:00
BEI.DE,Beiersdorf,XETRA,DEU,"Beiersdorf AGM: NIVEA Reset, €750M Buyback Unveiled as 2026 Outlook Turns Cautious",buyback,MarketBeat,2026-04-24T05:08:44Z,https://www.marketbeat.com/instant-alerts/beiersdorf-agm-nivea-reset-750m-buyback-unveiled-as-2026-outlook-turns-cautious-2026-04-24/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:30:09+00:00
VOW3.DE,Volkswagen,XETRA,DEU,Volkswagen's Cisek on China Business,other,Bloomberg,2026-04-24T05:06:46Z,https://finance.yahoo.com/video/volkswagens-cisek-china-business-050646743.html,2026-04-27T06:30:09+00:00
VOW3.DE,Volkswagen,XETRA,DEU,Volkswagen China EV Pivot And Valuation Questions For Investors,ev_tech,Simply Wall St.,2026-04-24T05:02:38Z,https://finance.yahoo.com/markets/stocks/articles/volkswagen-china-ev-pivot-valuation-050238312.html,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,Is Nike’s Next Focus an Expanded Presence in Team Sports?,other,Footwear News,2026-04-23T20:51:33Z,https://wwd.com/footwear-news/shoe-industry-news/nike-team-sports-soccer-lacrosse-brand-building-1238926612/,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,ServiceNow Stock Has Worst Day Ever on Disappointing Sales,ev_tech,Bloomberg,2026-04-23T20:51:19Z,https://finance.yahoo.com/markets/stocks/articles/servicenow-stock-worst-day-ever-205119633.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,How The Fresenius SE KGaA (XTRA:FRE) Investment Story Is Evolving With Mixed Analyst Targets,ev_tech,Simply Wall St.,2026-04-23T19:07:24Z,https://finance.yahoo.com/markets/stocks/articles/fresenius-se-kgaa-xtra-fre-190724448.html,2026-04-27T06:30:09+00:00
FRE.DE,Fresenius,XETRA,DEU,How The Fresenius SE KGaA (XTRA:FRE) Investment Story Is Evolving With Mixed Analyst Targets,ev_tech,Simply Wall St.,2026-04-23T19:07:24Z,https://finance.yahoo.com/markets/stocks/articles/fresenius-se-kgaa-xtra-fre-190724448.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,How The Deutsche Pfandbriefbank (XTRA:PBB) Investment Story Is Shifting After The €4.50 Target Cut,other,Simply Wall St.,2026-04-23T19:06:32Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-pfandbriefbank-xtra-pbb-investment-190632888.html,2026-04-27T06:30:09+00:00
ENR.DE,Siemens Energy,XETRA,DEU,"Avis stock crash continues, Siemens Energy lifts outlook",guidance,Yahoo Finance Video,2026-04-23T18:51:00Z,https://finance.yahoo.com/video/avis-stock-crash-continues-siemens-energy-lifts-outlook-185100021.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,Deutsche Bank (DB) Downgraded to ‘Equal Weight’ at Barclays,other,Insider Monkey,2026-04-23T16:45:14Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-bank-db-downgraded-equal-164514054.html,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,ASOS H1 Earnings Call Highlights,results,MarketBeat,2026-04-23T14:32:28Z,https://www.marketbeat.com/instant-alerts/asos-h1-earnings-call-highlights-2026-04-23/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,Deutsche Telekom Considers Full T-Mobile Takeover To Form $260 Billion Telecom Giant,other,GuruFocus.com,2026-04-23T13:20:45Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-telekom-considers-full-t-132045955.html,2026-04-27T06:30:09+00:00
SIE.DE,Siemens,XETRA,DEU,"Mkango Resources, Siemens Collaborate on Rare Earth Magnet Recycling",other,MT Newswires,2026-04-23T11:43:09Z,https://finance.yahoo.com/sectors/energy/articles/mkango-resources-siemens-collaborate-rare-114309850.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,"JFSL, Allianz formalise equal joint venture for India insurance",other,Life Insurance International,2026-04-23T11:08:22Z,https://www.lifeinsuranceinternational.com/news/jfsl-allianz-formalise-equal-joint-venture/,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,Deutsche Telekom boss braces for battle to land US mega-merger,merger,Financial Times,2026-04-23T09:41:17Z,https://finance.yahoo.com/economy/policy/articles/deutsche-telekom-boss-braces-battle-094117063.html,2026-04-27T06:30:09+00:00
DB1.DE,Deutsche Boerse,XETRA,DEU,Is Deutsche Börse (XTRA:DB1) Pricing In Exchange Consolidation After Strong 2026 Share Gains?,ev_tech,Simply Wall St.,2026-04-23T08:04:56Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-b-rse-xtra-db1-080456092.html,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,AT&T vs. Verizon vs. T-Mobile: Why This 4.4% Yield Is the Steadiest Bet in Telecom.,other,Barrons.com,2026-04-23T08:00:00Z,https://www.barrons.com/articles/att-stock-dividend-verizon-tmobile-telecom-f98f1d13?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
SIE.DE,Siemens,XETRA,DEU,Siemens Humanoid Robot Breakthrough Highlights Physical AI And Valuation Debate,ev_tech,Simply Wall St.,2026-04-23T07:05:53Z,https://finance.yahoo.com/markets/stocks/articles/siemens-humanoid-robot-breakthrough-highlights-070553226.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,Mercedes-Benz EV Plans Weighed As Samsung SDI And China Charging Deals Grow,ev_tech,Simply Wall St.,2026-04-23T07:05:25Z,https://finance.yahoo.com/markets/stocks/articles/mercedes-benz-ev-plans-weighed-070525676.html,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,Mercedes-Benz EV Plans Weighed As Samsung SDI And China Charging Deals Grow,ev_tech,Simply Wall St.,2026-04-23T07:05:25Z,https://finance.yahoo.com/markets/stocks/articles/mercedes-benz-ev-plans-weighed-070525676.html,2026-04-27T06:30:09+00:00
DBK.DE,Deutsche Bank,XETRA,DEU,This Is the Impact of AI on Meta Platforms (META) Core Advertising Business,ev_tech,Insider Monkey,2026-04-22T20:55:29Z,https://finance.yahoo.com/markets/stocks/articles/impact-ai-meta-platforms-meta-205529727.html,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,"Stocks to Watch: United, Spirit, Boeing, Tesla",other,The Wall Street Journal,2026-04-22T20:54:12Z,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-04-22-2026/card/stocks-to-watch-united-airlines-boeing-tesla-asm-international-bk68HV7z8Nos80Tagyo0?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
SIE.DE,Siemens,XETRA,DEU,What Network Downtime Really Costs Manufacturers,other,FreightWaves,2026-04-22T20:37:38Z,https://finance.yahoo.com/sectors/technology/articles/network-downtime-really-costs-manufacturers-203738674.html,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,A Look At Mercedes-Benz Group (XTRA:MBG) Valuation After Recent Share Price Weakness,other,Simply Wall St.,2026-04-22T20:03:06Z,https://finance.yahoo.com/markets/stocks/articles/look-mercedes-benz-group-xtra-200306819.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,Allianz (XTRA:ALV) Valuation Check After Openly Investment And HSBC Singapore Shortlist News,other,Simply Wall St.,2026-04-22T19:06:42Z,https://finance.yahoo.com/markets/stocks/articles/allianz-xtra-alv-valuation-check-190642579.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,Sector Update: Financial Stocks Decline Wednesday Afternoon,other,MT Newswires,2026-04-22T17:59:56Z,https://finance.yahoo.com/markets/stocks/articles/sector-financial-stocks-decline-wednesday-175956149.html,2026-04-27T06:30:09+00:00
DTE.DE,Deutsche Telekom,XETRA,DEU,Explainer-How Deutsche Telecom and T-Mobile US could pull off the world's biggest M&A deal,ev_tech,Reuters,2026-04-22T17:44:15Z,https://finance.yahoo.com/markets/stocks/articles/explainer-deutsche-telecom-t-mobile-174415249.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,HSBC Shortlists Bidders For Singapore Insurance Unit With $2 Billion Valuation,other,GuruFocus.com,2026-04-22T17:33:53Z,https://finance.yahoo.com/markets/stocks/articles/hsbc-shortlists-bidders-singapore-insurance-173353920.html,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,NIKE vs. adidas: Which Athletic Leader Deserves Investors' Attention?,other,Zacks,2026-04-22T17:00:00Z,https://finance.yahoo.com/markets/stocks/articles/nike-vs-adidas-athletic-leader-170000648.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,Honeywell's Quantinuum files confidentially for U.S. IPO,other,Quartz,2026-04-22T14:55:35Z,https://qz.com/honeywell-quantinuum-ipo-filing-sec-042226,2026-04-27T06:30:09+00:00
BAS.DE,BASF,XETRA,DEU,Should Value Investors Buy BASF (BASFY) Stock?,other,Zacks,2026-04-22T13:40:02Z,https://finance.yahoo.com/markets/stocks/articles/value-investors-buy-basf-basfy-134002081.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,Honeywell's Quantinuum confidentially files for US IPO,other,Reuters,2026-04-22T13:24:51Z,https://finance.yahoo.com/markets/stocks/articles/honeywells-quantinuum-confidentially-files-us-132451316.html,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,Luxury carmaker BMW imported fewer cars to U.S. than the Detroit 3,other,Detroit Free Press,2026-04-22T12:51:54Z,https://www.freep.com/story/money/cars/ford/2026/04/22/us-vehicle-imports-2025-ford-bmw/89704785007/,2026-04-27T06:30:09+00:00
BMW.DE,BMW,XETRA,DEU,Chinese EVs look to sideline foreign brands at Beijing auto show,ev_tech,AFP,2026-04-22T12:43:46Z,https://finance.yahoo.com/sectors/technology/articles/chinese-evs-look-sideline-foreign-124346048.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,Update: Market Chatter: HSBC Narrows Bidding List for Singapore Insurance Unit,other,MT Newswires,2026-04-22T10:53:38Z,https://finance.yahoo.com/markets/stocks/articles/market-chatter-hsbc-narrows-bidding-105338635.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,European Dividend Stocks With Yields Up To 4.4%,dividend,Simply Wall St.,2026-04-22T10:31:56Z,https://finance.yahoo.com/markets/stocks/articles/european-dividend-stocks-yields-4-103156358.html,2026-04-27T06:30:09+00:00
BAYN.DE,Bayer,XETRA,DEU,More Banks Are Earning $100 Million Fees for Advising Big M&A Targets,other,The Wall Street Journal,2026-04-22T10:00:00Z,https://www.wsj.com/cfo-journal/more-banks-are-earning-100-million-fees-for-advising-big-m-a-targets-625babeb?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
BEI.DE,Beiersdorf,XETRA,DEU,Beiersdorf AG (BDRFF) Q1 2026 Earnings Call Highlights: Navigating Sales Declines and Strategic ...,results,GuruFocus.com,2026-04-22T07:01:08Z,https://finance.yahoo.com/markets/stocks/articles/beiersdorf-ag-bdrff-q1-2026-070108678.html,2026-04-27T06:30:09+00:00
ALV.DE,Allianz,XETRA,DEU,RayJay Hires Strategy Chief to Support Expansion of ETF Biz,other,The Daily Upside,2026-04-22T04:01:00Z,https://www.thedailyupside.com/etf/industry-news-etf/rayjay-hires-strategy-chief-to-support-expansion-of-etf-biz/,2026-04-27T06:30:09+00:00
SIE.DE,Siemens,XETRA,DEU,A Look At Siemens (XTRA:SIE) Valuation After Recent Share Price Pullback And Rebound,other,Simply Wall St.,2026-04-21T17:04:25Z,https://finance.yahoo.com/markets/stocks/articles/look-siemens-xtra-sie-valuation-170425663.html,2026-04-27T06:30:09+00:00
FRE.DE,Fresenius,XETRA,DEU,Quest Diagnostics Q1 Earnings Call Highlights,results,MarketBeat,2026-04-21T14:45:18Z,https://www.marketbeat.com/instant-alerts/quest-diagnostics-q1-earnings-call-highlights-2026-04-21/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,Mercedes-Benz secures multi-year EV battery supply deal with Samsung SDI,ev_tech,Wards Auto,2026-04-21T11:12:56Z,https://www.wardsauto.com/news/mercedes-benz-secures-multi-year-ev-battery-supply-deal-with-samsung-sdi/817968/,2026-04-27T06:30:09+00:00
MBG.DE,Mercedes-Benz,XETRA,DEU,Samsung SDI signs first EV battery deal with Mercedes,ev_tech,Just Auto,2026-04-21T11:11:37Z,https://www.just-auto.com/news/samsung-sdi-signs-first-ev-battery-deal-with-mercedes/,2026-04-27T06:30:09+00:00
BEI.DE,Beiersdorf,XETRA,DEU,Beiersdorf Aktiengesellschaft Q1 Earnings Call Highlights,results,MarketBeat,2026-04-21T09:04:38Z,https://www.marketbeat.com/instant-alerts/beiersdorf-aktiengesellschaft-q1-earnings-call-highlights-2026-04-21/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:30:09+00:00
BEI.DE,Beiersdorf,XETRA,DEU,Beiersdorf Confirms Outlook After Challenging Start to the Year,guidance,The Wall Street Journal,2026-04-21T06:31:00Z,https://www.wsj.com/business/beiersdorf-confirms-outlook-after-challenging-start-to-the-year-fdb940ff?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,Are NIKE's Inventory Fixes Boosting Global Profitability Yet?,results,Zacks,2026-04-20T16:24:00Z,https://finance.yahoo.com/markets/stocks/articles/nikes-inventory-fixes-boosting-global-162400626.html,2026-04-27T06:30:09+00:00
RWE.DE,RWE,XETRA,DEU,European Stocks Fall Sharply in Monday Trading as Hopes of Middle East Ceasefire Dim,other,MT Newswires,2026-04-20T15:49:29Z,https://finance.yahoo.com/markets/world-indices/articles/european-stocks-fall-sharply-monday-154929600.html,2026-04-27T06:30:09+00:00
BAYN.DE,Bayer,XETRA,DEU,The Cancer Victims Who Could Sink Bayer’s Roundup Settlement,other,The Wall Street Journal,2026-04-20T15:45:00Z,https://www.wsj.com/business/the-cancer-victims-who-could-sink-bayers-roundup-settlement-a932cfed?siteid=yhoof2&yptr=yahoo,2026-04-27T06:30:09+00:00
ADS.DE,Adidas,XETRA,DEU,Can Footwear and Men's Wear Power lululemon's Next Chapter?,other,Zacks,2026-04-20T15:12:00Z,https://finance.yahoo.com/markets/stocks/articles/footwear-mens-wear-power-lululemons-151200055.html,2026-04-27T06:30:09+00:00
RWE.DE,RWE,XETRA,DEU,Hitachi Energy to supply automation solutions for RWE wind project,other,Power Technology,2026-04-20T11:11:34Z,https://www.power-technology.com/news/hitachi-energy-to-supply-automation/,2026-04-27T06:30:09+00:00
BEI.DE,Beiersdorf,XETRA,DEU,"Beiersdorf Aktiengesellschaft (ETR:BEI) Passed Our Checks, And It's About To Pay A €1.00 Dividend",dividend,Simply Wall St.,2026-04-20T04:04:31Z,https://finance.yahoo.com/markets/stocks/articles/beiersdorf-aktiengesellschaft-etr-bei-passed-040431958.html,2026-04-27T06:30:09+00:00
BAYN.DE,Bayer,XETRA,DEU,Why Recursion Pharmaceuticals Inc (RXRX) Expanded Citeline Partnership,other,Insider Monkey,2026-04-19T20:51:17Z,https://finance.yahoo.com/sectors/healthcare/articles/why-recursion-pharmaceuticals-inc-rxrx-205117919.html,2026-04-27T06:30:09+00:00
ENR.DE,Siemens Energy,XETRA,DEU,Assessing Siemens Energy (XTRA:ENR) Valuation After Strong Multi‑Year Share Price Gains,ev_tech,Simply Wall St.,2026-04-18T23:05:42Z,https://finance.yahoo.com/markets/stocks/articles/assessing-siemens-energy-xtra-enr-230542202.html,2026-04-27T06:30:09+00:00
SIE.DE,Siemens,XETRA,DEU,Siemens plans shareholder vote on Siemens Healthineers spinoff,other,MedTech Dive,2026-04-17T16:13:37Z,https://www.medtechdive.com/news/siemens-plans-shareholder-vote-on-siemens-healthineers-spinoff/817886/,2026-04-27T06:30:09+00:00
RWE.DE,RWE,XETRA,DEU,European Stocks Rise in Friday Trading Following Middle East War Ceasefire,other,MT Newswires,2026-04-17T16:00:25Z,https://finance.yahoo.com/markets/stocks/articles/european-stocks-rise-friday-trading-160025475.html,2026-04-27T06:30:09+00:00
BAS.DE,BASF,XETRA,DEU,BASFY Expands Nunhem Seed Hub With 40M Euro Sustainable Investment,ev_tech,Zacks,2026-04-17T12:06:00Z,https://finance.yahoo.com/sectors/energy/articles/basfy-expands-nunhem-seed-hub-120600635.html,2026-04-27T06:30:09+00:00
SIE.DE,Siemens,XETRA,DEU,Siemens plans shareholder vote on Siemens Healthineers stake spin-off in February 2027,other,Reuters,2026-04-17T11:31:23Z,https://finance.yahoo.com/sectors/healthcare/articles/siemens-plans-shareholder-vote-siemens-113123101.html,2026-04-27T06:30:09+00:00
ENR.DE,Siemens Energy,XETRA,DEU,Babcock & Wilcox (BW) AI Ride Propels 191% Jump This Year,ev_tech,Insider Monkey,2026-04-17T11:08:50Z,https://finance.yahoo.com/markets/stocks/articles/babcock-wilcox-bw-ai-ride-110850303.html,2026-04-27T06:30:09+00:00
