ticker,priority_score,momentum_score,quality_score,form,updated_utc,recency_min,link
MTDR,65,31,65,8-K,2026-04-27T16:31:49-04:00,149,https://www.sec.gov/Archives/edgar/data/1520006/000152000626000008/0001520006-26-000008-index.htm
VOXR,65,31,65,6-K,2026-04-27T16:31:21-04:00,149,https://www.sec.gov/Archives/edgar/data/1907909/000165495426003960/0001654954-26-003960-index.htm
CHAR,65,31,65,8-K,2026-04-27T16:30:51-04:00,150,https://www.sec.gov/Archives/edgar/data/2024459/000121390026048040/0001213900-26-048040-index.htm
GTY,65,31,65,8-K,2026-04-27T16:30:06-04:00,150,https://www.sec.gov/Archives/edgar/data/1052752/000119312526182196/0001193125-26-182196-index.htm
LC,65,31,65,8-K,2026-04-27T16:30:43-04:00,150,https://www.sec.gov/Archives/edgar/data/1409970/000140997026000059/0001409970-26-000059-index.htm
LXU,65,31,65,8-K,2026-04-27T16:30:14-04:00,150,https://www.sec.gov/Archives/edgar/data/60714/000119312526182194/0001193125-26-182194-index.htm
MATX,65,31,65,8-K,2026-04-27T16:30:07-04:00,150,https://www.sec.gov/Archives/edgar/data/3453/000110465926049459/0001104659-26-049459-index.htm
NNNN,65,31,65,6-K,2026-04-27T16:30:04-04:00,150,https://www.sec.gov/Archives/edgar/data/1982708/000118518526001504/0001185185-26-001504-index.htm
NVAC,65,31,65,8-K,2026-04-27T16:30:37-04:00,150,https://www.sec.gov/Archives/edgar/data/1859807/000121390026048039/0001213900-26-048039-index.htm
SBEV,65,31,65,8-K,2026-04-27T16:30:38-04:00,150,https://www.sec.gov/Archives/edgar/data/1553788/000173112226000614/0001731122-26-000614-index.htm
XCH,65,31,65,6-K,2026-04-27T16:30:01-04:00,150,https://www.sec.gov/Archives/edgar/data/1979887/000119312526182195/0001193125-26-182195-index.htm
WKHS,65,31,65,8-K,2026-04-27T16:29:49-04:00,151,https://www.sec.gov/Archives/edgar/data/1425287/000162828026027522/0001628280-26-027522-index.htm
SEI,65,31,65,8-K,2026-04-27T16:27:55-04:00,152,https://www.sec.gov/Archives/edgar/data/1697500/000162828026027520/0001628280-26-027520-index.htm
CI,65,31,65,8-K,2026-04-27T16:26:35-04:00,154,https://www.sec.gov/Archives/edgar/data/1739940/000114036126017123/0001140361-26-017123-index.htm
UHT,65,31,65,8-K,2026-04-27T16:25:18-04:00,155,https://www.sec.gov/Archives/edgar/data/798783/000119312526182162/0001193125-26-182162-index.htm
CLS,65,31,65,8-K,2026-04-27T16:23:00-04:00,157,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000030/0001030894-26-000030-index.htm
GABC,65,31,65,8-K,2026-04-27T16:23:23-04:00,157,https://www.sec.gov/Archives/edgar/data/714395/000071439526000016/0000714395-26-000016-index.htm
SEER,65,31,65,8-K,2026-04-27T16:23:36-04:00,157,https://www.sec.gov/Archives/edgar/data/1726445/000119312526182155/0001193125-26-182155-index.htm
AOMN,65,31,65,8-K,2026-04-27T16:22:46-04:00,158,https://www.sec.gov/Archives/edgar/data/1766478/000176647826000018/0001766478-26-000018-index.htm
CDP,65,31,65,8-K,2026-04-27T16:22:18-04:00,158,https://www.sec.gov/Archives/edgar/data/860546/000086054626000024/0000860546-26-000024-index.htm
PRKR,65,31,65,8-K,2026-04-27T16:19:58-04:00,160,https://www.sec.gov/Archives/edgar/data/914139/000143774926013473/0001437749-26-013473-index.htm
AEYE,65,31,65,8-K,2026-04-27T16:19:48-04:00,161,https://www.sec.gov/Archives/edgar/data/1362190/000110465926049452/0001104659-26-049452-index.htm
FBK,65,31,65,8-K,2026-04-27T16:19:40-04:00,161,https://www.sec.gov/Archives/edgar/data/1649749/000164974926000036/0001649749-26-000036-index.htm
SSD,65,31,65,8-K,2026-04-27T16:19:43-04:00,161,https://www.sec.gov/Archives/edgar/data/920371/000162828026027513/0001628280-26-027513-index.htm
AGL,65,31,65,8-K,2026-04-27T16:18:40-04:00,162,https://www.sec.gov/Archives/edgar/data/1831097/000162828026027512/0001628280-26-027512-index.htm
TRUP,65,31,65,8-K,2026-04-27T16:18:28-04:00,162,https://www.sec.gov/Archives/edgar/data/1371285/000137128526000083/0001371285-26-000083-index.htm
ERAS,65,31,65,8-K,2026-04-27T16:17:23-04:00,163,https://www.sec.gov/Archives/edgar/data/1761918/000119312526182137/0001193125-26-182137-index.htm
MLM,65,31,65,8-K,2026-04-27T16:17:13-04:00,163,https://www.sec.gov/Archives/edgar/data/916076/000095015726000549/0000950157-26-000549-index.htm
TFII,65,31,65,6-K,2026-04-27T16:17:18-04:00,163,https://www.sec.gov/Archives/edgar/data/1588823/000119312526182136/0001193125-26-182136-index.htm
ASTE,65,31,65,8-K,2026-04-27T16:15:59-04:00,164,https://www.sec.gov/Archives/edgar/data/792987/000079298726000020/0000792987-26-000020-index.htm
LEVI,65,31,65,8-K,2026-04-27T16:16:01-04:00,164,https://www.sec.gov/Archives/edgar/data/94845/000009484526000027/0000094845-26-000027-index.htm
BAH,65,31,65,8-K,2026-04-27T16:15:16-04:00,165,https://www.sec.gov/Archives/edgar/data/1443646/000144364626000007/0001443646-26-000007-index.htm
BSY,65,31,65,8-K,2026-04-27T16:15:43-04:00,165,https://www.sec.gov/Archives/edgar/data/1031308/000110465926049444/0001104659-26-049444-index.htm
CHEV,65,31,65,8-K,2026-04-27T16:15:25-04:00,165,https://www.sec.gov/Archives/edgar/data/1459188/000121390026048021/0001213900-26-048021-index.htm
CMG,65,31,65,8-K,2026-04-27T16:15:39-04:00,165,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000024/0001058090-26-000024-index.htm
FOSL,65,31,65,8-K,2026-04-27T16:15:21-04:00,165,https://www.sec.gov/Archives/edgar/data/883569/000088356926000032/0000883569-26-000032-index.htm
SKY,65,31,65,8-K,2026-04-27T16:15:14-04:00,165,https://www.sec.gov/Archives/edgar/data/90896/000119312526182121/0001193125-26-182121-index.htm
STNG,65,31,65,6-K,2026-04-27T16:15:50-04:00,165,https://www.sec.gov/Archives/edgar/data/1483934/000148393426000038/0001483934-26-000038-index.htm
CCK,65,31,65,8-K,2026-04-27T16:14:07-04:00,166,https://www.sec.gov/Archives/edgar/data/1219601/000162828026027502/0001628280-26-027502-index.htm
CTOS,65,31,65,8-K,2026-04-27T16:14:41-04:00,166,https://www.sec.gov/Archives/edgar/data/1709682/000170968226000017/0001709682-26-000017-index.htm
VTMX,65,31,65,6-K,2026-04-27T16:14:25-04:00,166,https://www.sec.gov/Archives/edgar/data/1969373/000095010326006223/0000950103-26-006223-index.htm
RNGR,65,31,65,8-K,2026-04-27T16:13:09-04:00,167,https://www.sec.gov/Archives/edgar/data/1699039/000162828026027500/0001628280-26-027500-index.htm
AMKR,65,31,65,8-K,2026-04-27T16:11:18-04:00,169,https://www.sec.gov/Archives/edgar/data/1047127/000104712726000017/0001047127-26-000017-index.htm
CBNK,65,31,65,8-K,2026-04-27T16:10:55-04:00,169,https://www.sec.gov/Archives/edgar/data/1419536/000141953626000097/0001419536-26-000097-index.htm
OTLY,65,31,65,6-K,2026-04-27T16:11:10-04:00,169,https://www.sec.gov/Archives/edgar/data/1843586/000184358626000012/0001843586-26-000012-index.htm
PK,65,31,65,8-K,2026-04-27T16:11:02-04:00,169,https://www.sec.gov/Archives/edgar/data/1617406/000161740626000025/0001617406-26-000025-index.htm
SBS,65,31,65,6-K,2026-04-27T16:11:33-04:00,169,https://www.sec.gov/Archives/edgar/data/1170858/000129281426002539/0001292814-26-002539-index.htm
NVDA,65,31,65,8-K,2026-04-27T16:10:30-04:00,170,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000026/0001045810-26-000026-index.htm
SUI,65,31,65,8-K,2026-04-27T16:10:49-04:00,170,https://www.sec.gov/Archives/edgar/data/912593/000091259326000156/0000912593-26-000156-index.htm
BNRG,65,31,65,6-K,2026-04-27T16:05:48-04:00,175,https://www.sec.gov/Archives/edgar/data/1901215/000121390026048011/0001213900-26-048011-index.htm
LU,65,31,65,6-K,2026-04-27T16:03:24-04:00,177,https://www.sec.gov/Archives/edgar/data/1816007/000119312526181968/0001193125-26-181968-index.htm
CSIQ,65,31,65,6-K,2026-04-27T16:02:14-04:00,178,https://www.sec.gov/Archives/edgar/data/1375877/000110465926049421/0001104659-26-049421-index.htm
CISS,65,31,65,6-K,2026-04-27T16:01:09-04:00,179,https://www.sec.gov/Archives/edgar/data/1951067/000119312526181886/0001193125-26-181886-index.htm
MTLS,65,31,65,6-K,2026-04-27T16:01:34-04:00,179,https://www.sec.gov/Archives/edgar/data/1091223/000110465926049419/0001104659-26-049419-index.htm
BTCT,65,31,65,6-K,2026-04-27T16:00:05-04:00,180,https://www.sec.gov/Archives/edgar/data/1796514/000121390026047999/0001213900-26-047999-index.htm
SCNI,65,31,65,6-K,2026-04-27T16:00:51-04:00,180,https://www.sec.gov/Archives/edgar/data/1611747/000121390026048002/0001213900-26-048002-index.htm
RBNE,61,17,61,SC TO-I,2026-04-27T16:43:24-04:00,137,https://www.sec.gov/Archives/edgar/data/2039060/000114036126017143/0001140361-26-017143-index.htm
RACE,60,26,60,6-K,2026-04-27T13:50:19-04:00,310,https://www.sec.gov/Archives/edgar/data/1648416/000164841626000057/0001648416-26-000057-index.htm
VEON,60,26,60,6-K,2026-04-27T13:42:09-04:00,318,https://www.sec.gov/Archives/edgar/data/1468091/000146809126000021/0001468091-26-000021-index.htm
HITI,60,26,60,6-K,2026-04-27T13:20:34-04:00,340,https://www.sec.gov/Archives/edgar/data/1847409/000127956926000350/0001279569-26-000350-index.htm
UBXG,60,26,60,6-K,2026-04-27T13:07:48-04:00,353,https://www.sec.gov/Archives/edgar/data/1888525/000121390026047908/0001213900-26-047908-index.htm
CORZZ,59,31,59,8-K,2026-04-27T17:30:43-04:00,90,https://www.sec.gov/Archives/edgar/data/1839341/000162828026027645/0001628280-26-027645-index.htm
GECCO,59,31,59,8-K,2026-04-27T17:21:55-04:00,98,https://www.sec.gov/Archives/edgar/data/1675033/000095010326006233/0000950103-26-006233-index.htm
ODVWZ,59,31,59,6-K,2026-04-27T16:42:57-04:00,137,https://www.sec.gov/Archives/edgar/data/1431852/000110465926049484/0001104659-26-049484-index.htm
BBAAY,59,31,59,6-K,2026-04-27T16:03:25-04:00,177,https://www.sec.gov/Archives/edgar/data/1577552/000110465926049424/0001104659-26-049424-index.htm
PEP,57,17,57,25,2026-04-27T16:33:54-04:00,146,https://www.sec.gov/Archives/edgar/data/77476/000135445726000377/0001354457-26-000377-index.htm
TE-WT,56,30,56,8-K,2026-04-27T16:24:53-04:00,156,https://www.sec.gov/Archives/edgar/data/1992243/000121390026048030/0001213900-26-048030-index.htm
POET,56,22,56,6-K,2026-04-27T11:45:59-04:00,434,https://www.sec.gov/Archives/edgar/data/1437424/000117184326002726/0001171843-26-002726-index.htm
CINT,56,22,56,6-K,2026-04-27T10:19:37-04:00,521,https://www.sec.gov/Archives/edgar/data/1868995/000129281426002535/0001292814-26-002535-index.htm
CCEP,56,22,56,6-K,2026-04-27T10:18:05-04:00,522,https://www.sec.gov/Archives/edgar/data/1650107/000165010726000057/0001650107-26-000057-index.htm
MPU,56,22,56,6-K,2026-04-27T09:40:01-04:00,560,https://www.sec.gov/Archives/edgar/data/1953021/000121390026047798/0001213900-26-047798-index.htm
PLRZ,56,22,56,6-K,2026-04-27T09:29:14-04:00,571,https://www.sec.gov/Archives/edgar/data/1893645/000121390026047794/0001213900-26-047794-index.htm
TUYA,56,22,56,6-K,2026-04-27T09:17:32-04:00,583,https://www.sec.gov/Archives/edgar/data/1829118/000110465926049115/0001104659-26-049115-index.htm
NFGC,56,22,56,6-K,2026-04-27T09:13:16-04:00,587,https://www.sec.gov/Archives/edgar/data/1840616/000110465926049104/0001104659-26-049104-index.htm
VMAR,56,22,56,6-K,2026-04-27T09:04:59-04:00,595,https://www.sec.gov/Archives/edgar/data/1813783/000110465926049094/0001104659-26-049094-index.htm
DRTS,56,22,56,6-K,2026-04-27T09:00:01-04:00,600,https://www.sec.gov/Archives/edgar/data/1871321/000121390026047783/0001213900-26-047783-index.htm
EUDA,56,22,56,6-K,2026-04-27T09:00:03-04:00,600,https://www.sec.gov/Archives/edgar/data/1847846/000149315226019083/0001493152-26-019083-index.htm
RPGL,56,22,56,6-K,2026-04-27T09:00:16-04:00,600,https://www.sec.gov/Archives/edgar/data/1912884/000121390026047784/0001213900-26-047784-index.htm
HUYA,56,22,56,6-K,2026-04-27T08:46:46-04:00,614,https://www.sec.gov/Archives/edgar/data/1728190/000110465926049077/0001104659-26-049077-index.htm
MAXN,56,22,56,6-K,2026-04-27T08:43:12-04:00,617,https://www.sec.gov/Archives/edgar/data/1796898/000119312526179237/0001193125-26-179237-index.htm
REAX,56,22,56,6-K,2026-04-27T08:31:58-04:00,628,https://www.sec.gov/Archives/edgar/data/1862461/000110465926049066/0001104659-26-049066-index.htm
KZIA,56,22,56,6-K,2026-04-27T08:30:33-04:00,630,https://www.sec.gov/Archives/edgar/data/1075880/000121390026047770/0001213900-26-047770-index.htm
LRHC,56,22,56,8-K/A,2026-04-27T08:30:14-04:00,630,https://www.sec.gov/Archives/edgar/data/1879403/000121390026047768/0001213900-26-047768-index.htm
SLMT,56,22,56,6-K,2026-04-27T08:30:01-04:00,630,https://www.sec.gov/Archives/edgar/data/1939965/000121390026047767/0001213900-26-047767-index.htm
TURB,56,22,56,6-K,2026-04-27T08:30:05-04:00,630,https://www.sec.gov/Archives/edgar/data/1963439/000121390026047769/0001213900-26-047769-index.htm
APLM,56,22,56,6-K,2026-04-27T08:20:01-04:00,640,https://www.sec.gov/Archives/edgar/data/1944885/000119312526179094/0001193125-26-179094-index.htm
EVAX,56,22,56,6-K,2026-04-27T08:10:07-04:00,650,https://www.sec.gov/Archives/edgar/data/1828253/000117184326002722/0001171843-26-002722-index.htm
RDHL,56,22,56,6-K,2026-04-27T08:04:19-04:00,656,https://www.sec.gov/Archives/edgar/data/1553846/000117891326002231/0001178913-26-002231-index.htm
KEP,56,22,56,6-K,2026-04-27T07:57:30-04:00,663,https://www.sec.gov/Archives/edgar/data/887225/000119312526178954/0001193125-26-178954-index.htm
CMND,56,22,56,6-K,2026-04-27T07:45:10-04:00,675,https://www.sec.gov/Archives/edgar/data/1892500/000121390026047736/0001213900-26-047736-index.htm
BAK,56,22,56,6-K,2026-04-27T07:44:53-04:00,676,https://www.sec.gov/Archives/edgar/data/1071438/000129281426002533/0001292814-26-002533-index.htm
YAAS,56,22,56,6-K,2026-04-27T07:38:08-04:00,682,https://www.sec.gov/Archives/edgar/data/1964946/000149315226019058/0001493152-26-019058-index.htm
IPX,56,22,56,6-K,2026-04-27T07:32:42-04:00,688,https://www.sec.gov/Archives/edgar/data/1898601/000114036126016841/0001140361-26-016841-index.htm
USAS,56,22,56,6-K,2026-04-27T07:23:39-04:00,697,https://www.sec.gov/Archives/edgar/data/1286973/000106299326002149/0001062993-26-002149-index.htm
IAG,56,22,56,6-K,2026-04-27T07:18:22-04:00,702,https://www.sec.gov/Archives/edgar/data/1203464/000106299326002147/0001062993-26-002147-index.htm
PPBT,56,22,56,6-K,2026-04-27T07:15:16-04:00,705,https://www.sec.gov/Archives/edgar/data/1614744/000121390026047709/0001213900-26-047709-index.htm
SHMD,56,22,56,6-K,2026-04-27T07:12:50-04:00,708,https://www.sec.gov/Archives/edgar/data/1987240/000110465926048999/0001104659-26-048999-index.htm
SLMBP,55,29,55,8-K,2026-04-27T16:46:01-04:00,134,https://www.sec.gov/Archives/edgar/data/1032033/000103203326000028/0001032033-26-000028-index.htm
FGBIP,55,29,55,8-K,2026-04-27T16:30:17-04:00,150,https://www.sec.gov/Archives/edgar/data/1408534/000140853426000030/0001408534-26-000030-index.htm
XOMAP,55,29,55,8-K/A,2026-04-27T16:01:19-04:00,179,https://www.sec.gov/Archives/edgar/data/791908/000119312526181885/0001193125-26-181885-index.htm
QRED-UN,54,29,54,8-K,2026-04-27T16:56:39-04:00,124,https://www.sec.gov/Archives/edgar/data/2085177/000182912626003988/0001829126-26-003988-index.htm
CDR-PB,54,29,54,8-K,2026-04-27T16:22:01-04:00,158,https://www.sec.gov/Archives/edgar/data/761648/000076164826000012/0000761648-26-000012-index.htm
OAK-PB,54,29,54,8-K,2026-04-27T16:17:05-04:00,163,https://www.sec.gov/Archives/edgar/data/1403528/000140352826000019/0001403528-26-000019-index.htm
LLOBF,54,26,54,6-K,2026-04-27T13:38:07-04:00,322,https://www.sec.gov/Archives/edgar/data/1160106/000165495426003953/0001654954-26-003953-index.htm
OGN,53,17,53,DEFA14A,2026-04-27T17:18:27-04:00,102,https://www.sec.gov/Archives/edgar/data/1821825/000119312526182416/0001193125-26-182416-index.htm
XGN,53,17,53,DEFA14A,2026-04-27T17:18:12-04:00,102,https://www.sec.gov/Archives/edgar/data/1274737/000127473726000021/0001274737-26-000021-index.htm
CSV,53,27,53,S-3,2026-04-27T17:15:28-04:00,105,https://www.sec.gov/Archives/edgar/data/1016281/000110465926049519/0001104659-26-049519-index.htm
OVID,53,17,53,DEFA14A,2026-04-27T17:12:01-04:00,108,https://www.sec.gov/Archives/edgar/data/1636651/000162828026027624/0001628280-26-027624-index.htm
ALIT,53,17,53,DEFA14A,2026-04-27T17:11:51-04:00,109,https://www.sec.gov/Archives/edgar/data/1809104/000162828026027623/0001628280-26-027623-index.htm
TREE,53,17,53,DEFA14A,2026-04-27T17:08:24-04:00,112,https://www.sec.gov/Archives/edgar/data/1434621/000114036126017149/0001140361-26-017149-index.htm
ASTI,53,17,53,DEFA14A,2026-04-27T17:05:01-04:00,115,https://www.sec.gov/Archives/edgar/data/1350102/000107997326000544/0001079973-26-000544-index.htm
LFWD,53,27,53,S-3,2026-04-27T17:00:39-04:00,120,https://www.sec.gov/Archives/edgar/data/1607962/000117891326002253/0001178913-26-002253-index.htm
AVIR,53,17,53,DEFA14A,2026-04-27T16:57:59-04:00,122,https://www.sec.gov/Archives/edgar/data/1593899/000119312526182340/0001193125-26-182340-index.htm
MGX,53,17,53,DEFA14A,2026-04-27T16:58:07-04:00,122,https://www.sec.gov/Archives/edgar/data/1785279/000119312526182339/0001193125-26-182339-index.htm
EBS,53,17,53,DEFA14A,2026-04-27T16:55:15-04:00,125,https://www.sec.gov/Archives/edgar/data/1367644/000119312526182326/0001193125-26-182326-index.htm
IPSC,53,17,53,DEFA14A,2026-04-27T16:54:16-04:00,126,https://www.sec.gov/Archives/edgar/data/1850119/000110465926049493/0001104659-26-049493-index.htm
BRLT,53,17,53,DEFA14A,2026-04-27T16:53:24-04:00,127,https://www.sec.gov/Archives/edgar/data/1866757/000162828026027583/0001628280-26-027583-index.htm
OPAD,53,27,53,S-3,2026-04-27T16:51:59-04:00,128,https://www.sec.gov/Archives/edgar/data/1825024/000119312526182312/0001193125-26-182312-index.htm
TNET,53,27,53,S-3,2026-04-27T16:50:48-04:00,130,https://www.sec.gov/Archives/edgar/data/937098/000093709826000027/0000937098-26-000027-index.htm
QNCX,53,17,53,DEFA14A,2026-04-27T16:41:11-04:00,139,https://www.sec.gov/Archives/edgar/data/1662774/000119312526182267/0001193125-26-182267-index.htm
ALH,53,17,53,DEFA14A,2026-04-27T16:39:07-04:00,141,https://www.sec.gov/Archives/edgar/data/1317685/000162828026027536/0001628280-26-027536-index.htm
NVCT,53,17,53,DEFA14A,2026-04-27T16:39:33-04:00,141,https://www.sec.gov/Archives/edgar/data/1875558/000110465926049480/0001104659-26-049480-index.htm
SPRO,53,17,53,DEFA14A,2026-04-27T16:39:05-04:00,141,https://www.sec.gov/Archives/edgar/data/1701108/000119312526182256/0001193125-26-182256-index.htm
RMAX,53,17,53,DEFA14A,2026-04-27T16:38:34-04:00,142,https://www.sec.gov/Archives/edgar/data/1581091/000110465926049478/0001104659-26-049478-index.htm
COOK,53,17,53,DEFA14A,2026-04-27T16:34:48-04:00,146,https://www.sec.gov/Archives/edgar/data/1857853/000162828026027528/0001628280-26-027528-index.htm
PAYO,53,17,53,DEFA14A,2026-04-27T16:34:27-04:00,146,https://www.sec.gov/Archives/edgar/data/1845815/000110465926049470/0001104659-26-049470-index.htm
HUBS,53,17,53,DEFA14A,2026-04-27T16:33:31-04:00,147,https://www.sec.gov/Archives/edgar/data/1404655/000119312526182218/0001193125-26-182218-index.htm
