ticker,total_score,sec_score,news_score,gapper_score,value_score,moat_score,news_hits,best_news_recency_min,sector_tags,event_tags
WABC,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
ANTA,20.000,20.000,0.000,20.000,8.000,0.000,0,999999.0,,
RNGR,20.000,20.000,0.000,20.000,19.000,0.000,0,999999.0,,
CCK,19.000,19.000,0.000,17.000,19.000,0.000,0,999999.0,,
CTOS,19.000,19.000,0.000,17.000,19.000,0.000,0,999999.0,,
ASTE,19.000,19.000,0.000,19.000,10.000,0.000,0,999999.0,,
WKHS,18.000,18.000,0.000,18.000,10.000,0.000,0,999999.0,,
BAH,18.000,18.000,0.000,17.000,18.000,18.000,0,999999.0,,
MATX,18.000,18.000,0.000,18.000,10.000,0.000,0,999999.0,,
FLYE,18.000,18.000,0.000,18.000,10.000,0.000,0,999999.0,,
CR,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
SEER,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
MRBK,17.000,17.000,0.000,17.000,7.000,0.000,0,999999.0,,
SEI,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
UTZ,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
CHAR,17.000,17.000,0.000,17.000,7.000,0.000,0,999999.0,,
WSUP,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
SKY,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
SRTA,17.000,17.000,0.000,6.000,17.000,0.000,0,999999.0,,
BTCT,17.000,17.000,0.000,17.000,9.000,0.000,0,999999.0,,
NUE,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
INVL,17.000,17.000,0.000,17.000,7.000,0.000,0,999999.0,,
LXU,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
MTDR,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
GURE,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
USAU,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
SBEV,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
HLMN,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
ELSE,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
MLM,17.000,17.000,0.000,17.000,10.000,0.000,0,999999.0,,
YSWY,16.000,16.000,0.000,16.000,7.000,0.000,0,999999.0,,
GH,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
CLS,16.000,16.000,0.000,14.000,16.000,0.000,0,999999.0,,
PRKR,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
PACS,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
PK,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
PFE,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
XOMAP,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
INM,16.000,16.000,0.000,16.000,7.000,0.000,0,999999.0,,
IMAQ,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
CMG,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
NVAC,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
PAHC,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
LEVI,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
ERAS,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
CHEV,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
GECCO,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
MANE,16.000,16.000,0.000,16.000,10.000,0.000,0,999999.0,,
VINP,15.000,15.000,0.000,6.000,15.000,0.000,0,999999.0,,
TFII,15.000,15.000,0.000,13.000,15.000,0.000,0,999999.0,,
NOA,14.000,14.000,0.000,14.000,9.000,0.000,0,999999.0,,
JNJ,14.000,14.000,0.000,6.000,14.000,0.000,0,999999.0,,
LTBR,14.000,14.000,0.000,14.000,10.000,0.000,0,999999.0,,
ACI,14.000,14.000,0.000,8.000,14.000,14.000,0,999999.0,,
WBTN,14.000,14.000,0.000,6.000,14.000,0.000,0,999999.0,,
VOXR,14.000,14.000,0.000,14.000,9.000,0.000,0,999999.0,,
OTLY,14.000,14.000,0.000,14.000,9.000,0.000,0,999999.0,,
ALH,14.000,14.000,0.000,9.000,14.000,14.000,0,999999.0,,
AEYE,14.000,14.000,0.000,14.000,5.000,0.000,0,999999.0,,
ODVWZ,14.000,14.000,0.000,14.000,9.000,0.000,0,999999.0,,
SSD,13.000,13.000,0.000,13.000,13.000,0.000,0,999999.0,,
EMBJ,13.000,13.000,0.000,13.000,9.000,0.000,0,999999.0,,
FOSL,13.000,13.000,0.000,13.000,10.000,0.000,0,999999.0,,
VIV,13.000,13.000,0.000,13.000,12.000,0.000,0,999999.0,,
GTY,13.000,13.000,0.000,13.000,10.000,0.000,0,999999.0,,
NNNN,13.000,13.000,0.000,13.000,9.000,0.000,0,999999.0,,
NGEN,13.000,13.000,0.000,13.000,9.000,0.000,0,999999.0,,
TRT,13.000,13.000,0.000,13.000,7.000,0.000,0,999999.0,,
BSY,13.000,13.000,0.000,13.000,10.000,0.000,0,999999.0,,
VLDX,13.000,13.000,0.000,13.000,7.000,0.000,0,999999.0,,
STNG,13.000,13.000,0.000,13.000,9.000,0.000,0,999999.0,,
NVRI,13.000,13.000,0.000,13.000,10.000,0.000,0,999999.0,,
AOMN,13.000,13.000,0.000,13.000,10.000,0.000,0,999999.0,,
CISS,13.000,13.000,0.000,13.000,9.000,0.000,0,999999.0,,
NVDA,13.000,13.000,0.000,13.000,10.000,0.000,0,999999.0,,
HCA,13.000,13.000,0.000,13.000,7.000,0.000,0,999999.0,,
CLLS,13.000,13.000,0.000,13.000,9.000,0.000,0,999999.0,,
NOV,12.110,0.000,15.138,0.000,0.000,0.000,1,76.2,transport,company_catalyst
AVIR,12.000,12.000,0.000,8.000,12.000,0.000,0,999999.0,,
ABEO,12.000,12.000,0.000,8.000,12.000,0.000,0,999999.0,,
FAST,12.000,12.000,0.000,6.000,12.000,0.000,0,999999.0,,
MTLS,12.000,12.000,0.000,11.000,12.000,0.000,0,999999.0,,
CSIQ,12.000,12.000,0.000,11.000,12.000,0.000,0,999999.0,,
BNRG,12.000,12.000,0.000,12.000,6.000,0.000,0,999999.0,,
LLOBF,12.000,12.000,0.000,12.000,10.000,0.000,0,999999.0,,
TSHA,11.706,0.000,14.633,0.000,0.000,0.000,1,100.2,biotech;transport,
YEAR,11.402,0.000,14.253,0.000,0.000,0.000,1,9.2,transport,
DRVN,11.009,0.000,13.761,0.000,0.000,0.000,1,28.2,semis_ai,
BRX,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
REAX,11.000,11.000,0.000,9.000,11.000,0.000,0,999999.0,,
APAD,11.000,11.000,0.000,11.000,9.000,0.000,0,999999.0,,
ORXCF,11.000,11.000,0.000,11.000,3.000,0.000,0,999999.0,,
MHH,11.000,11.000,0.000,6.000,11.000,0.000,0,999999.0,,
SCNI,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
ESTA,11.000,11.000,0.000,6.000,11.000,0.000,0,999999.0,,
PNRG,11.000,11.000,0.000,6.000,11.000,0.000,0,999999.0,,
XCH,11.000,11.000,0.000,11.000,9.000,0.000,0,999999.0,,
BAK,11.000,11.000,0.000,6.000,11.000,0.000,0,999999.0,,
PGC,11.000,11.000,0.000,11.000,4.000,0.000,0,999999.0,,
TREE,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
CINF,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
OCFC,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
SILA,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
AZN,11.000,11.000,0.000,11.000,8.000,0.000,0,999999.0,,
MDAI,11.000,11.000,0.000,6.000,11.000,0.000,0,999999.0,,
SNSE,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
OGN,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
DEA,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
TWOD,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
PNBK,11.000,11.000,0.000,11.000,6.000,0.000,0,999999.0,,
EOSE,10.890,0.000,13.612,0.000,0.000,0.000,1,34.2,,company_catalyst
COTY,10.850,0.000,13.563,0.000,0.000,0.000,1,36.2,,company_catalyst
PSHG,10.006,0.000,12.508,0.000,0.000,0.000,1,82.2,transport,
RACE,10.000,10.000,0.000,8.000,10.000,0.000,0,999999.0,,
ANABV,10.000,10.000,0.000,10.000,4.000,0.000,0,999999.0,,
NHS,10.000,10.000,0.000,7.000,10.000,0.000,0,999999.0,,
CVGW,10.000,10.000,0.000,6.000,10.000,0.000,0,999999.0,,
JBHT,10.000,10.000,0.000,6.000,10.000,0.000,0,999999.0,,
VTMX,10.000,10.000,0.000,10.000,9.000,0.000,0,999999.0,,
SPWR,10.000,10.000,0.000,6.000,10.000,0.000,0,999999.0,,
CDNA,10.000,10.000,0.000,10.000,4.000,0.000,0,999999.0,,
SBS,10.000,10.000,0.000,10.000,9.000,0.000,0,999999.0,,
OIOW,10.000,10.000,0.000,10.000,9.000,0.000,0,999999.0,,
NVCR,10.000,10.000,0.000,10.000,4.000,0.000,0,999999.0,,
BBAAY,10.000,10.000,0.000,10.000,6.000,0.000,0,999999.0,,
THRM,10.000,10.000,0.000,10.000,4.000,0.000,0,999999.0,,
DYN,10.000,10.000,0.000,6.000,10.000,0.000,0,999999.0,,
GGG,10.000,10.000,0.000,6.000,10.000,0.000,0,999999.0,,
CABO,10.000,10.000,0.000,10.000,4.000,0.000,0,999999.0,,
INDP,10.000,10.000,0.000,10.000,4.000,0.000,0,999999.0,,
SAP,9.724,0.000,12.155,0.000,0.000,0.000,3,834.2,,policy_macro
EIX,9.000,9.000,0.000,5.000,9.000,0.000,0,999999.0,,
STLD,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
SD,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
AREB,9.000,9.000,0.000,9.000,2.000,0.000,0,999999.0,,
RMAX,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
HLNCF,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
BZ,9.000,9.000,0.000,9.000,3.000,0.000,0,999999.0,,
TSEOF,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
ADSK,9.000,9.000,0.000,2.000,9.000,9.000,0,999999.0,,
PUKPF,9.000,9.000,0.000,9.000,3.000,0.000,0,999999.0,,
ALIT,9.000,9.000,0.000,9.000,2.000,0.000,0,999999.0,,
RGEN,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
CXMSF,9.000,9.000,0.000,9.000,3.000,0.000,0,999999.0,,
BCPC,9.000,9.000,0.000,9.000,6.000,0.000,0,999999.0,,
HTGC,8.695,0.000,10.869,0.000,0.000,0.000,1,44.2,,
IPO,8.676,0.000,10.845,0.000,0.000,0.000,1,45.2,,
GEMI,8.676,0.000,10.845,0.000,0.000,0.000,1,45.2,,
CLM,8.666,0.000,10.832,0.000,0.000,0.000,4,779.2,,
TLS,8.666,0.000,10.832,0.000,0.000,0.000,4,779.2,,
VICI,8.657,0.000,10.821,0.000,0.000,0.000,1,46.2,,
APO,8.657,0.000,10.821,0.000,0.000,0.000,1,46.2,,
AIRG,8.599,0.000,10.749,0.000,0.000,0.000,1,176.2,semis_ai,
GSL,8.470,0.000,10.587,0.000,0.000,0.000,1,56.2,,
VITL,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
MCRB,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
NVCT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SPRO,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
ACMR,8.000,8.000,0.000,0.000,8.000,0.000,0,999999.0,,
ACLX,8.000,8.000,0.000,2.000,8.000,8.000,0,999999.0,,
ALDX,8.000,8.000,0.000,8.000,2.000,0.000,0,999999.0,,
PRNAF,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
EWCZ,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SURG,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
GOVX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
LAB,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
RVMD,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
MA,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
HITI,8.000,8.000,0.000,8.000,7.000,0.000,0,999999.0,,
VEON,8.000,8.000,0.000,8.000,7.000,0.000,0,999999.0,,
PEP,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
ITRN,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
GLAXF,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
KYNB,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
CAPS,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SN,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
BFLY,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
ACDC,8.000,8.000,0.000,0.000,8.000,0.000,0,999999.0,,
BMEA,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
GETY,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
CGTX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
NONOF,8.000,8.000,0.000,5.000,8.000,0.000,0,999999.0,,
DNUT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
IMKTA,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
TGT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SNDA,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
EXLS,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
GYRE,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
COOK,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
MGX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
BGMSP,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
TERN,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
PAYO,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SNNUF,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
MEHA,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
MMLP,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
MRT,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
QDEL,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
STKL,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
ACON,8.000,8.000,0.000,8.000,1.000,0.000,0,999999.0,,
ZHIHF,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
CHT,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
SVV,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
TMUSL,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
EYPT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SKM,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
RBNE,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
EBS,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SION,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
REAL,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
QNCX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
CTRVP,8.000,8.000,0.000,6.000,8.000,0.000,0,999999.0,,
XGN,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
FRPT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SCYX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
BIRD,8.000,8.000,0.000,8.000,4.000,0.000,0,999999.0,,
IPSC,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
CPAC,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
ANNX,8.000,8.000,0.000,8.000,7.000,0.000,0,999999.0,,
CPNG,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SER,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
ELVN,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
BRLT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
DFTX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
WEX,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
PEG,8.000,8.000,0.000,8.000,4.000,0.000,0,999999.0,,
XNCR,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
HBNB,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
RIVN,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
LAAOF,8.000,8.000,0.000,8.000,3.000,0.000,0,999999.0,,
ARMP,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
SEAT,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
OVID,8.000,8.000,0.000,8.000,6.000,0.000,0,999999.0,,
AZTR,8.000,8.000,0.000,8.000,2.000,0.000,0,999999.0,,
LIFE,7.546,0.000,9.433,0.000,0.000,0.000,1,110.2,,
USD,7.376,0.000,9.220,0.000,0.000,0.000,1,121.2,,
IONQ,7.062,0.000,8.827,0.000,0.000,0.000,1,661.2,semis_ai;transport,
RLXXF,7.000,7.000,0.000,7.000,5.000,0.000,0,999999.0,,
CXAI,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
ILAL,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
IPWR,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
ICHGF,7.000,7.000,0.000,7.000,5.000,0.000,0,999999.0,,
HUBS,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
SANM,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
FUSE,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
SVC,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
ASTI,7.000,7.000,0.000,7.000,7.000,0.000,0,999999.0,,
NVNXF,7.000,7.000,0.000,7.000,3.000,0.000,0,999999.0,,
YEXT,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
GAME,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
VERX,7.000,7.000,0.000,7.000,6.000,0.000,0,999999.0,,
CACI,6.732,0.000,8.415,0.000,0.000,0.000,1,166.2,,
PDC,6.000,6.000,0.000,6.000,6.000,0.000,0,999999.0,,
BEKE,6.000,6.000,0.000,6.000,3.000,0.000,0,999999.0,,
SNYNF,6.000,6.000,0.000,6.000,5.000,0.000,0,999999.0,,
LGNYZ,6.000,6.000,0.000,6.000,2.000,0.000,0,999999.0,,
SWKS,6.000,6.000,0.000,3.000,6.000,0.000,0,999999.0,,
LRHC,6.000,6.000,0.000,6.000,6.000,0.000,0,999999.0,,
SLMT,6.000,6.000,0.000,6.000,5.000,0.000,0,999999.0,,
RYDAF,6.000,6.000,0.000,6.000,5.000,0.000,0,999999.0,,
CMND,6.000,6.000,0.000,6.000,5.000,0.000,0,999999.0,,
DVLT,5.242,0.000,6.552,0.000,0.000,0.000,1,616.2,semis_ai,
ZBRA,5.100,0.000,6.375,0.000,0.000,0.000,1,651.2,,policy_macro
SOC,5.062,0.000,6.327,0.000,0.000,0.000,1,661.2,,policy_macro
TURB,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
ULYX,5.000,5.000,0.000,0.000,5.000,0.000,0,999999.0,,
KEP,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
MPU,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
USAS,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
CCEP,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
YAAS,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
EUDA,5.000,5.000,0.000,2.000,5.000,0.000,0,999999.0,,
IPX,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
RYAOF,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
APLM,5.000,5.000,0.000,5.000,0.000,0.000,0,999999.0,,
EVAX,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
HUYA,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
TUYA,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
DRTS,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
WEIBF,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
RPGL,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
PPBT,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
SPHIF,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
MAXN,5.000,5.000,0.000,4.000,5.000,0.000,0,999999.0,,
KZIA,5.000,5.000,0.000,2.000,5.000,0.000,0,999999.0,,
EMYB,5.000,5.000,0.000,5.000,4.000,0.000,0,999999.0,,
RDHL,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
NFGC,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
HSIGF,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
IAG,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
YLY,5.000,5.000,0.000,5.000,3.000,0.000,0,999999.0,,
SHMD,5.000,5.000,0.000,5.000,5.000,0.000,0,999999.0,,
SHAZ,4.951,0.000,6.189,0.000,0.000,0.000,1,691.2,semis_ai,
JLL,4.228,0.000,5.285,0.000,0.000,0.000,1,950.2,,policy_macro
LNG,4.000,0.000,5.000,0.000,0.000,0.000,1,78621.2,energy,policy_macro
ORC,4.000,4.000,0.000,4.000,0.000,0.000,0,999999.0,,
TSEM,4.000,4.000,0.000,4.000,0.000,0.000,0,999999.0,,
DWTX,4.000,4.000,0.000,3.000,4.000,0.000,0,999999.0,,
MWC,4.000,4.000,0.000,4.000,3.000,0.000,0,999999.0,,
LBSR,4.000,4.000,0.000,3.000,4.000,0.000,0,999999.0,,
ABTC,4.000,4.000,0.000,4.000,0.000,0.000,0,999999.0,,
VIASP,4.000,4.000,0.000,3.000,4.000,0.000,0,999999.0,,
SEIC,4.000,4.000,0.000,4.000,4.000,0.000,0,999999.0,,
ELA,4.000,4.000,0.000,3.000,4.000,0.000,0,999999.0,,
STK,4.000,4.000,0.000,3.000,4.000,0.000,0,999999.0,,
LADR,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
UCTT,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
COEP,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
POET,3.000,3.000,0.000,3.000,2.000,0.000,0,999999.0,,
WLTH,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
SSTK,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
MAIA,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
SKYT,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
NCRRP,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
DPZ,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
FBIZ,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
GTBIF,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
KNSL,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
FMC,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
FTRE,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
MCW,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
GNK,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
ASFT,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
MTVA,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
PECO,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
HTH,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
ENVA,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
GLPI,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
HELE,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
ERIE,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
CVGI,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
RNTX,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
RYM,3.000,3.000,0.000,3.000,0.000,0.000,0,999999.0,,
VRSN,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
LUV,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
WU,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
APPF,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
SVAC,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
PSKY,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
