month,ssn,smoothed_ssn,f107,smoothed_f107,cycle_phase,captured_at
2022-04,84.0,73.0,130.6,116.0,ascending,2026-04-27T23:11:53Z
2022-03,78.6,68.7,117.8,112.2,ascending,2026-04-27T23:11:53Z
2022-02,60.9,64.7,109.2,108.6,ascending,2026-04-27T23:11:53Z
2022-01,55.3,60.1,104.0,105.1,ascending,2026-04-27T23:11:53Z
2021-12,67.5,55.9,102.9,101.7,ascending,2026-04-27T23:11:53Z
2021-11,34.8,50.8,86.9,97.8,ascending,2026-04-27T23:11:53Z
2021-10,37.4,45.2,90.3,93.0,ascending,2026-04-27T23:11:53Z
2021-09,51.3,40.2,87.4,88.9,ascending,2026-04-27T23:11:53Z
2021-08,22.0,35.4,77.9,85.7,ascending,2026-04-27T23:11:53Z
2021-07,34.3,31.4,81.0,83.0,ascending,2026-04-27T23:11:53Z
2021-06,25.0,27.6,79.8,81.2,ascending,2026-04-27T23:11:53Z
2021-05,21.2,25.8,75.6,80.7,plateau,2026-04-27T23:11:53Z
2021-04,24.5,24.8,74.7,80.1,ascending,2026-04-27T23:11:53Z
2021-03,17.2,21.7,75.2,78.8,ascending,2026-04-27T23:11:53Z
2021-02,8.2,19.0,73.6,77.8,ascending,2026-04-27T23:11:53Z
2021-01,10.4,17.3,76.1,77.1,ascending,2026-04-27T23:11:53Z
2020-12,23.1,15.3,87.3,76.2,ascending,2026-04-27T23:11:53Z
2020-11,34.5,13.6,90.1,75.5,ascending,2026-04-27T23:11:53Z
2020-10,14.6,11.9,74.6,75.0,ascending,2026-04-27T23:11:53Z
2020-09,0.6,10.5,70.6,74.6,plateau,2026-04-27T23:11:53Z
2020-08,7.5,9.5,71.7,74.3,plateau,2026-04-27T23:11:53Z
2020-07,6.1,9.0,69.5,74.0,ascending,2026-04-27T23:11:53Z
2020-06,5.8,7.9,69.7,73.2,ascending,2026-04-27T23:11:53Z
2020-05,0.2,5.6,69.2,71.7,ascending,2026-04-27T23:11:53Z
2020-04,5.2,3.6,69.6,70.5,unknown,2026-04-27T23:11:53Z
