date,vix,vxn,vxd,vix9d,vix3mo,skew,term_inversion
2026-02-26,18.63,23.61,17.0,,20.81,,
2026-02-25,17.93,22.94,16.89,,20.36,,
2026-02-24,19.55,24.82,18.21,,21.34,,
2026-02-23,21.01,26.36,19.12,,22.14,,
2026-02-20,19.09,24.23,17.14,,21.09,,
2026-02-19,20.23,25.64,18.44,,21.88,,
2026-02-18,19.62,24.96,18.06,,21.39,,
2026-02-17,20.29,25.98,18.54,,21.6,,
2026-02-16,21.2,,,,,,
2026-02-13,20.6,26.37,18.51,,22.17,,
2026-02-12,20.82,26.87,19.07,,22.17,,
2026-02-11,17.65,23.26,16.4,,20.37,,
2026-02-10,17.79,23.46,16.75,,20.43,,
2026-02-09,17.36,23.42,16.49,,20.09,,
2026-02-06,17.76,24.3,16.51,,20.37,,
2026-02-05,21.77,29.19,18.92,,22.45,,
2026-02-04,18.64,26.01,16.84,,20.62,,
2026-02-03,18.0,23.45,16.78,,20.35,,
2026-02-02,16.34,21.23,15.28,,19.37,,
2026-01-30,17.44,22.52,16.03,,20.07,,
2026-01-29,16.88,21.44,15.43,,19.67,,
2026-01-28,16.35,20.37,15.56,,19.3,,
2026-01-27,16.35,20.55,15.9,,19.22,,
2026-01-26,16.15,20.43,15.1,,19.07,,
2026-01-23,16.09,20.37,15.0,,19.15,,
2026-01-22,15.64,20.08,14.56,,18.75,,
2026-01-21,16.9,21.19,15.53,,19.36,,
2026-01-20,20.09,24.26,18.0,,21.28,,
2026-01-19,18.84,,,,,,
2026-01-16,15.86,20.29,14.54,,18.99,,
2026-01-15,15.84,20.2,14.25,,18.9,,
2026-01-14,16.75,20.96,15.25,,19.37,,
2026-01-13,15.98,20.05,14.7,,18.85,,
2026-01-12,15.12,19.53,13.84,,18.23,,
2026-01-09,14.49,19.06,13.97,,17.88,,
2026-01-08,15.45,20.15,14.89,,18.39,,
2026-01-07,15.38,20.03,14.87,,18.59,,
2026-01-06,14.75,19.53,14.42,,18.15,,
2026-01-05,14.9,20.01,14.07,,18.32,,
2026-01-02,14.51,19.75,13.53,,18.02,,
2025-12-31,14.95,19.56,13.85,,18.18,,
2025-12-30,14.33,18.95,13.32,,17.77,,
2025-12-29,14.2,18.39,13.64,,17.82,,
2025-12-26,13.6,17.38,13.07,,17.77,,
2025-12-24,13.47,17.2,13.16,,17.77,,
2025-12-23,14.0,17.47,13.38,,17.84,,
2025-12-22,14.08,17.85,13.34,,17.79,,
2025-12-19,14.91,18.52,13.58,,18.25,,
2025-12-18,16.87,20.72,17.34,,19.59,,
2025-12-17,17.62,21.78,15.13,,20.08,,
2025-12-16,16.48,20.19,14.48,,19.67,,
2025-12-15,16.5,20.71,14.26,,19.68,,
2025-12-12,15.74,20.62,14.17,,19.25,,
2025-12-11,14.85,18.4,14.19,,19.05,,
2025-12-10,15.77,19.67,14.81,,19.35,,
2025-12-09,16.93,20.76,15.94,,20.08,,
2025-12-08,16.66,20.75,15.49,,19.91,,
2025-12-05,15.41,19.62,14.57,,19.27,,
2025-12-04,15.78,20.19,14.94,,19.49,,
2025-12-03,16.08,20.65,15.33,,19.71,,
2025-12-02,16.59,21.28,15.98,,19.84,,
2025-12-01,17.24,22.06,16.35,,20.22,,
2025-11-28,16.35,21.17,14.94,,19.64,,
2025-11-27,17.21,,,,,,
2025-11-26,17.19,22.26,15.88,,20.02,,
2025-11-25,18.56,23.67,16.7,,20.73,,
2025-11-24,20.52,25.57,18.05,,21.85,,
2025-11-21,23.43,28.95,19.32,,23.96,,
2025-11-20,26.42,32.72,21.72,,25.76,,
2025-11-19,23.66,29.3,20.07,,23.99,,
2025-11-18,24.69,30.51,20.72,,24.54,,
2025-11-17,22.38,28.16,19.06,,23.18,,
2025-11-14,19.83,26.15,22.34,,21.58,,
2025-11-13,20.0,25.88,17.87,,21.85,,
2025-11-12,17.51,23.06,15.79,,20.34,,
2025-11-11,17.28,22.67,15.29,,20.19,,
2025-11-10,17.6,22.62,15.85,,20.24,,
2025-11-07,19.08,24.58,16.94,,21.19,,
2025-11-06,19.5,24.64,17.75,,21.35,,
2025-11-05,18.01,22.6,16.97,,20.6,,
2025-11-04,19.0,23.3,17.65,,21.29,,
2025-11-03,17.17,21.73,16.56,,20.38,,
2025-10-31,17.44,21.99,16.36,,20.49,,
2025-10-30,16.91,21.66,16.19,,19.98,,
2025-10-29,16.92,21.76,15.73,,19.83,,
2025-10-28,16.42,21.31,15.19,,19.55,,
2025-10-27,15.79,20.5,14.68,,18.99,,
2025-10-24,16.37,20.61,14.33,,19.2,,
2025-10-23,17.3,21.72,14.86,,19.65,,
2025-10-22,18.6,23.3,16.44,,20.31,,
2025-10-21,17.87,22.59,15.84,,19.99,,
2025-10-20,18.23,22.64,15.97,,20.31,,
2025-10-17,20.78,24.97,17.97,,22.09,,
2025-10-16,25.31,28.26,36.6,,24.87,,
2025-10-15,20.64,24.42,18.6,,21.94,,
2025-10-14,20.81,24.28,18.64,,22.03,,
2025-10-13,19.03,22.8,17.77,,20.93,,
2025-10-10,21.66,25.23,19.83,,22.81,,
2025-10-09,16.43,20.04,16.32,,19.38,,
2025-10-08,16.3,20.02,16.06,,19.26,,
2025-10-07,17.24,20.82,16.38,,19.71,,
2025-10-06,16.37,20.4,15.85,,19.12,,
2025-10-03,16.65,20.08,15.79,,19.08,,
2025-10-02,16.63,20.01,15.69,,18.89,,
2025-10-01,16.29,19.87,15.72,,18.76,,
2025-09-30,16.28,20.0,15.7,,18.77,,
2025-09-29,16.12,19.87,15.6,,18.76,,
2025-09-26,15.29,19.33,14.93,,18.41,,
2025-09-25,16.74,20.54,15.94,,19.46,,
2025-09-24,16.18,19.93,15.82,,19.14,,
2025-09-23,16.64,20.13,15.95,,19.44,,
2025-09-22,16.1,19.42,15.59,,18.95,,
2025-09-19,15.45,18.74,14.98,,18.48,,
2025-09-18,15.7,18.86,15.32,,18.52,,
2025-09-17,15.72,19.02,15.63,,18.44,,
2025-09-16,16.36,19.57,15.96,,18.91,,
2025-09-15,15.69,19.12,15.33,,18.53,,
2025-09-12,14.76,18.18,14.5,,18.06,,
2025-09-11,14.71,18.23,14.47,,18.03,,
2025-09-10,15.35,18.62,14.76,,18.44,,
2025-09-09,15.04,18.22,14.27,,18.27,,
2025-09-08,15.11,18.35,14.45,,18.29,,
2025-09-05,15.18,18.44,14.17,,18.42,,
2025-09-04,15.3,18.79,14.06,,18.39,,
2025-09-03,16.35,19.69,14.72,,18.93,,
2025-09-02,17.17,20.36,15.2,,19.38,,
2025-09-01,16.12,,,,,,
2025-08-29,15.36,19.11,13.98,,18.35,,
2025-08-28,14.43,17.62,13.68,,17.72,,
2025-08-27,14.85,18.69,13.87,,17.94,,
2025-08-26,14.62,18.19,13.8,,17.9,,
2025-08-25,14.79,18.42,13.81,,18.02,,
2025-08-22,14.22,18.06,12.91,,17.76,,
2025-08-21,16.6,20.55,14.51,,19.41,,
2025-08-20,15.69,20.0,13.97,,19.1,,
2025-08-19,15.57,19.39,14.01,,18.9,,
2025-08-18,14.99,17.75,13.36,,18.45,,
2025-08-15,15.09,17.5,12.74,,18.64,,
2025-08-14,14.83,17.08,13.19,,18.49,,
2025-08-13,14.49,16.73,13.02,,18.33,,
2025-08-12,14.73,16.84,13.25,,18.34,,
2025-08-11,16.25,18.17,14.7,,19.25,,
2025-08-08,15.15,17.29,14.13,,18.7,,
2025-08-07,16.57,18.82,15.73,,19.35,,
2025-08-06,16.77,18.77,15.62,,19.47,,
2025-08-05,17.85,19.87,16.45,,20.03,,
2025-08-04,17.52,19.24,15.87,,19.61,,
2025-08-01,20.38,21.54,18.06,,21.24,,
2025-07-31,16.72,19.23,15.72,,19.14,,
2025-07-30,15.48,17.32,14.51,,18.35,,
2025-07-29,15.98,18.21,15.31,,18.77,,
2025-07-28,15.03,17.27,14.56,,18.16,,
2025-07-25,14.93,17.16,14.29,,18.32,,
2025-07-24,15.39,17.72,14.78,,18.56,,
2025-07-23,15.37,17.94,14.45,,18.56,,
2025-07-22,16.5,18.95,15.52,,19.53,,
2025-07-21,16.65,18.71,15.69,,19.51,,
2025-07-18,16.41,18.61,15.71,,19.58,,
2025-07-17,16.52,18.67,15.67,,19.69,,
2025-07-16,17.16,19.54,16.44,,20.09,,
