ticker,momentum_score,form,updated_utc,recency_min,link
MANH,5,10-Q,2026-04-24T10:08:49-04:00,4852,https://www.sec.gov/Archives/edgar/data/1056696/000119312526175715/0001193125-26-175715-index.htm
TXN,5,10-Q,2026-04-24T09:34:09-04:00,4886,https://www.sec.gov/Archives/edgar/data/97476/000009747626000101/0000097476-26-000101-index.htm
TEL,5,10-Q,2026-04-24T08:06:10-04:00,4974,https://www.sec.gov/Archives/edgar/data/1385157/000110465926048160/0001104659-26-048160-index.htm
DOW,5,10-Q,2026-04-24T07:30:32-04:00,5010,https://www.sec.gov/Archives/edgar/data/1751788/000175178826000134/0001751788-26-000134-index.htm
PM,5,10-Q,2026-04-24T07:09:14-04:00,5031,https://www.sec.gov/Archives/edgar/data/1413329/000162828026027019/0001628280-26-027019-index.htm
CHTR,5,10-Q,2026-04-24T07:01:44-04:00,5039,https://www.sec.gov/Archives/edgar/data/1091667/000109166726000028/0001091667-26-000028-index.htm
SSTK,5,10-K,2026-04-24T06:52:26-04:00,5048,https://www.sec.gov/Archives/edgar/data/1549346/000154934626000018/0001549346-26-000018-index.htm
MCW,5,SC 13E3,2026-04-24T06:19:04-04:00,5081,https://www.sec.gov/Archives/edgar/data/1853513/000119312526174877/0001193125-26-174877-index.htm
MNDR,5,F-1,2026-04-23T21:58:50-04:00,5582,https://www.sec.gov/Archives/edgar/data/1976695/000149315226018824/0001493152-26-018824-index.htm
RIBB,5,10-K,2026-04-23T21:19:12-04:00,5621,https://www.sec.gov/Archives/edgar/data/2035016/000121390026047214/0001213900-26-047214-index.htm
FAF,5,10-Q,2026-04-23T18:30:25-04:00,5790,https://www.sec.gov/Archives/edgar/data/1472787/000119312526174195/0001193125-26-174195-index.htm
ENVA,5,10-Q,2026-04-23T17:15:39-04:00,5865,https://www.sec.gov/Archives/edgar/data/1529864/000119312526174021/0001193125-26-174021-index.htm
SPRU,5,10-K,2026-04-23T17:15:01-04:00,5865,https://www.sec.gov/Archives/edgar/data/1772720/000162828026026907/0001628280-26-026907-index.htm
OII,5,10-Q,2026-04-23T17:13:10-04:00,5867,https://www.sec.gov/Archives/edgar/data/73756/000007375626000082/0000073756-26-000082-index.htm
IQST,5,10-K,2026-04-23T17:09:47-04:00,5871,https://www.sec.gov/Archives/edgar/data/1527702/000166357726000112/0001663577-26-000112-index.htm
KALU,5,10-Q,2026-04-23T16:44:11-04:00,5896,https://www.sec.gov/Archives/edgar/data/811596/000119312526173882/0001193125-26-173882-index.htm
CBRE,5,10-Q,2026-04-23T16:39:40-04:00,5901,https://www.sec.gov/Archives/edgar/data/1138118/000113811826000015/0001138118-26-000015-index.htm
ROL,5,10-Q,2026-04-23T16:34:15-04:00,5906,https://www.sec.gov/Archives/edgar/data/84839/000008483926000022/0000084839-26-000022-index.htm
VRSN,5,10-Q,2026-04-23T16:32:34-04:00,5908,https://www.sec.gov/Archives/edgar/data/1014473/000101447326000020/0001014473-26-000020-index.htm
NEMCL,5,10-Q,2026-04-23T16:31:21-04:00,5909,https://www.sec.gov/Archives/edgar/data/1164727/000116472726000019/0001164727-26-000019-index.htm
LBRT,5,10-Q,2026-04-23T16:26:49-04:00,5914,https://www.sec.gov/Archives/edgar/data/1694028/000169402826000023/0001694028-26-000023-index.htm
ERIE,5,10-Q,2026-04-23T16:25:34-04:00,5915,https://www.sec.gov/Archives/edgar/data/922621/000162828026026866/0001628280-26-026866-index.htm
LUV,5,10-Q,2026-04-23T16:25:10-04:00,5915,https://www.sec.gov/Archives/edgar/data/92380/000009238026000047/0000092380-26-000047-index.htm
GLPI,5,10-Q,2026-04-23T16:18:17-04:00,5922,https://www.sec.gov/Archives/edgar/data/1575965/000157596526000048/0001575965-26-000048-index.htm
MCO,5,10-Q,2026-04-23T16:17:18-04:00,5923,https://www.sec.gov/Archives/edgar/data/1059556/000162828026026848/0001628280-26-026848-index.htm
ZBAO,5,F-1,2026-04-23T16:16:55-04:00,5923,https://www.sec.gov/Archives/edgar/data/1966750/000121390026047092/0001213900-26-047092-index.htm
MBLY,5,10-Q,2026-04-23T16:16:09-04:00,5924,https://www.sec.gov/Archives/edgar/data/1910139/000110465926047712/0001104659-26-047712-index.htm
R,5,10-Q,2026-04-23T16:16:19-04:00,5924,https://www.sec.gov/Archives/edgar/data/85961/000162828026026847/0001628280-26-026847-index.htm
SLSN,5,10-K,2026-04-23T16:13:59-04:00,5926,https://www.sec.gov/Archives/edgar/data/883107/000199937126008861/0001999371-26-008861-index.htm
KNSL,5,10-Q,2026-04-23T16:13:00-04:00,5927,https://www.sec.gov/Archives/edgar/data/1669162/000166916226000026/0001669162-26-000026-index.htm
MXL,5,10-Q,2026-04-23T16:13:32-04:00,5927,https://www.sec.gov/Archives/edgar/data/1288469/000128846926000029/0001288469-26-000029-index.htm
OTIS,5,10-Q,2026-04-23T16:12:15-04:00,5928,https://www.sec.gov/Archives/edgar/data/1781335/000178133526000075/0001781335-26-000075-index.htm
WST,5,10-Q,2026-04-23T16:12:02-04:00,5928,https://www.sec.gov/Archives/edgar/data/105770/000010577026000049/0000105770-26-000049-index.htm
APPF,5,10-Q,2026-04-23T16:09:36-04:00,5931,https://www.sec.gov/Archives/edgar/data/1433195/000143319526000023/0001433195-26-000023-index.htm
LMT,5,10-Q,2026-04-23T16:09:05-04:00,5931,https://www.sec.gov/Archives/edgar/data/936468/000162828026026836/0001628280-26-026836-index.htm
FIX,5,10-Q,2026-04-23T16:06:53-04:00,5934,https://www.sec.gov/Archives/edgar/data/1035983/000110465926047689/0001104659-26-047689-index.htm
OPTHF,5,F-1,2026-04-23T16:06:00-04:00,5934,https://www.sec.gov/Archives/edgar/data/2027329/000119312526173667/0001193125-26-173667-index.htm
CP,5,10-K,2026-04-23T16:05:47-04:00,5935,https://www.sec.gov/Archives/edgar/data/16875/000119312526173665/0001193125-26-173665-index.htm
LRCX,5,10-Q,2026-04-23T16:05:20-04:00,5935,https://www.sec.gov/Archives/edgar/data/707549/000070754926000022/0000707549-26-000022-index.htm
PHM,5,10-Q,2026-04-23T16:04:05-04:00,5936,https://www.sec.gov/Archives/edgar/data/822416/000082241626000023/0000822416-26-000023-index.htm
MEDP,5,10-Q,2026-04-23T16:03:37-04:00,5937,https://www.sec.gov/Archives/edgar/data/1668397/000166839726000019/0001668397-26-000019-index.htm
SCHL,5,SC TO-I,2026-04-23T16:01:36-04:00,5939,https://www.sec.gov/Archives/edgar/data/866729/000119312526173633/0001193125-26-173633-index.htm
AMST,5,RW,2026-04-23T13:00:37-04:00,6120,https://www.sec.gov/Archives/edgar/data/1807166/000121390026046972/0001213900-26-046972-index.htm
QETA,5,10-K,2026-04-23T10:40:26-04:00,6260,https://www.sec.gov/Archives/edgar/data/1978528/000149315226018655/0001493152-26-018655-index.htm
GRVT,5,F-1,2026-04-23T10:17:02-04:00,6283,https://www.sec.gov/Archives/edgar/data/2078037/000149315226018652/0001493152-26-018652-index.htm
DAWN,5,25,2026-04-23T09:14:52-04:00,6346,https://www.sec.gov/Archives/edgar/data/1845337/000135445726000366/0001354457-26-000366-index.htm
XNDU,5,F-1,2026-04-23T08:30:53-04:00,6390,https://www.sec.gov/Archives/edgar/data/2097163/000121390026046889/0001213900-26-046889-index.htm
HELE,5,10-K,2026-04-23T06:56:18-04:00,6484,https://www.sec.gov/Archives/edgar/data/916789/000091678926000048/0000916789-26-000048-index.htm
SVAC,5,F-4,2026-04-23T06:17:36-04:00,6523,https://www.sec.gov/Archives/edgar/data/2074850/000110465926047122/0001104659-26-047122-index.htm
EP-PC,4,10-Q,2026-04-24T16:09:36-04:00,4491,https://www.sec.gov/Archives/edgar/data/1506307/000150630726000035/0001506307-26-000035-index.htm
MOG-B,4,10-Q,2026-04-24T11:08:11-04:00,4792,https://www.sec.gov/Archives/edgar/data/67887/000162828026027064/0001628280-26-027064-index.htm
NCRRP,3,DEFA14A,2026-04-27T06:05:31-04:00,775,https://www.sec.gov/Archives/edgar/data/70866/000114036126016814/0001140361-26-016814-index.htm
EONR-WT,3,10-K,2026-04-24T19:35:02-04:00,4285,https://www.sec.gov/Archives/edgar/data/1842556/000121390026047665/0001213900-26-047665-index.htm
DSX-WT,3,DFAN14A,2026-04-24T17:27:17-04:00,4413,https://www.sec.gov/Archives/edgar/data/1318885/000091957426002407/0000919574-26-002407-index.htm
WBS-PG,3,10-K,2026-04-24T16:03:05-04:00,4497,https://www.sec.gov/Archives/edgar/data/801337/000080133726000011/0000801337-26-000011-index.htm
SIGIP,3,10-Q,2026-04-24T13:50:09-04:00,4630,https://www.sec.gov/Archives/edgar/data/230557/000023055726000011/0000230557-26-000011-index.htm
PRIF-PK,3,25,2026-04-24T13:35:02-04:00,4645,https://www.sec.gov/Archives/edgar/data/1554625/000087666126000357/0000876661-26-000357-index.htm
NEE-PV,3,10-Q,2026-04-23T16:52:23-04:00,5888,https://www.sec.gov/Archives/edgar/data/753308/000075330826000031/0000753308-26-000031-index.htm
SYF-PB,3,10-Q,2026-04-23T16:14:32-04:00,5926,https://www.sec.gov/Archives/edgar/data/1601712/000160171226000016/0001601712-26-000016-index.htm
HIG-PG,3,10-Q,2026-04-23T16:07:30-04:00,5933,https://www.sec.gov/Archives/edgar/data/874766/000087476626000037/0000874766-26-000037-index.htm
