ticker,date,type,headline,price_sensitive,doc_key,file_size,captured_at
RIO,2026-04-24T00:15:46,SECURITY HOLDER DETAILS,Appendix 3Y - Simon Trott,0,2924-03082218-3A691932,277KB,2026-04-24T21:32:51Z
BXB,2026-04-24T00:01:46,ISSUED CAPITAL,Notification of cessation of securities - BXB,0,2924-03082212-2A1668108,13KB,2026-04-24T21:32:51Z
CSL,2026-04-23T22:19:25,ISSUED CAPITAL,Update - Notification of buy-back - CSL,0,2924-03082047-3A691903,15KB,2026-04-24T21:32:51Z
BXB,2026-04-23T22:16:35,ISSUED CAPITAL,Update - Notification of buy-back - BXB,0,2924-03082023-2A1668015,15KB,2026-04-24T21:32:51Z
JHX,2026-04-23T22:15:00,ISSUED CAPITAL,Notification regarding unquoted securities - JHX,0,2924-03082010-2A1668011,14KB,2026-04-24T21:32:51Z
RIO,2026-04-23T22:13:35,SECURITY HOLDER DETAILS,Shareholdings of KMP / PDMR,0,2924-03081999-3A691892,169KB,2026-04-24T21:32:51Z
SUN,2026-04-23T22:06:35,PERIODIC REPORTS,FY27 Aggregate Reinsurance Cover and FY26 Outlook,0,2924-03081971-2A1668036,141KB,2026-04-24T21:32:51Z
MQG,2026-04-23T07:16:05,SECURITY HOLDER DETAILS,Becoming a substantial holder from MQG,0,2924-03081912-2A1667985,164KB,2026-04-24T21:32:51Z
TLS,2026-04-23T07:05:05,ISSUED CAPITAL,Update - Notification of buy-back - TLS,0,2924-03081905-3A691887,15KB,2026-04-24T21:32:51Z
WDS,2026-04-23T07:01:40,NOTICE OF MEETING,2026 Annual General Meeting Voting Results,0,2924-03081902-6A1321759,181KB,2026-04-24T21:32:51Z
WDS,2026-04-23T01:46:08,CHAIRMAN'S ADDRESS,AGM Address by Chair Richard Goyder and CEO Liz Westcott,0,2924-03081792-6A1321709,144KB,2026-04-24T21:32:51Z
QBE,2026-04-22T23:10:02,SECURITY HOLDER DETAILS,Change of Director's Interest Notice,0,2924-03081661-2A1667874,445KB,2026-04-24T21:32:51Z
QBE,2026-04-22T23:00:22,ISSUED CAPITAL,Notification regarding unquoted securities - QBE,0,2924-03081644-2A1667863,17KB,2026-04-24T21:32:51Z
BXB,2026-04-22T22:42:37,ISSUED CAPITAL,Notification of cessation of securities - BXB,0,2924-03081617-2A1667845,13KB,2026-04-24T21:32:51Z
BXB,2026-04-22T22:21:47,ISSUED CAPITAL,Update - Notification of buy-back - BXB,0,2924-03081563-2A1667814,15KB,2026-04-24T21:32:51Z
CSL,2026-04-22T22:18:56,ISSUED CAPITAL,Update - Notification of buy-back - CSL,0,2924-03081544-3A691831,15KB,2026-04-24T21:32:51Z
STO,2026-04-22T22:16:16,SECURITY HOLDER DETAILS,Change in substantial holding,0,2924-03081529-2A1667801,1513KB,2026-04-24T21:32:51Z
TLS,2026-04-22T07:03:41,ISSUED CAPITAL,Update - Notification of buy-back - TLS,0,2924-03081445-3A691825,15KB,2026-04-24T21:32:51Z
MQG,2026-04-22T06:08:35,SECURITY HOLDER DETAILS,Becoming a substantial holder from MQG,0,2924-03081409-6A1321542,173KB,2026-04-24T21:32:51Z
COH,2026-04-22T02:48:54,SECURITY HOLDER DETAILS,Change in substantial holding,0,2924-03081332-2A1667727,1829KB,2026-04-24T21:32:51Z
QBE,2026-04-21T23:23:43,ISSUED CAPITAL,Application for quotation of securities - QBE,0,2924-03081217-2A1667676,15KB,2026-04-24T21:32:51Z
QBE,2026-04-21T23:11:13,ISSUED CAPITAL,Update - Notification of buy-back - QBE,0,2924-03081191-2A1667666,15KB,2026-04-24T21:32:51Z
BXB,2026-04-21T22:36:03,ISSUED CAPITAL,Notification of cessation of securities - BXB,0,2924-03081124-2A1667628,13KB,2026-04-24T21:32:51Z
RIO,2026-04-21T22:21:32,SECURITY HOLDER DETAILS,Shareholdings of KMP / PDMR,0,2924-03081077-3A691756,457KB,2026-04-24T21:32:51Z
RIO,2026-04-21T22:21:27,SECURITY HOLDER DETAILS,Shareholdings of KMP / PDMR,0,2924-03081076-3A691755,465KB,2026-04-24T21:32:51Z
CSL,2026-04-21T22:17:42,ISSUED CAPITAL,Update - Notification of buy-back - CSL,0,2924-03081049-3A691762,15KB,2026-04-24T21:32:51Z
TCL,2026-04-21T06:49:16,ISSUED CAPITAL,"WestConnex prices A$1,210m issuance in AMTN market",0,2924-03080981-3A691748,62KB,2026-04-24T21:32:51Z
TLS,2026-04-21T06:46:16,ISSUED CAPITAL,Update - Notification of buy-back - TLS,0,2924-03080980-3A691747,15KB,2026-04-24T21:32:51Z
CSL,2026-04-20T22:14:43,ISSUED CAPITAL,Update - Notification of buy-back - CSL,0,2924-03080626-3A691682,15KB,2026-04-24T21:32:51Z
TLS,2026-04-20T06:50:37,ISSUED CAPITAL,Update - Notification of buy-back - TLS,0,2924-03080531-3A691665,15KB,2026-04-24T21:32:51Z
REA,2026-04-19T23:30:44,PERIODIC REPORTS,Notice of release of Q3 results to the market,0,2924-03080346-3A691630,84KB,2026-04-24T21:32:51Z
CSL,2026-04-19T22:25:54,ISSUED CAPITAL,Notification of cessation of securities - CSL,0,2924-03080213-3A691607,12KB,2026-04-24T21:32:51Z
NEM,2026-04-17T03:32:38,PROGRESS REPORT,Update on Cadia Operations,0,2924-03079958-3A691567,104KB,2026-04-24T21:32:51Z
JHX,2026-04-16T22:25:41,ISSUED CAPITAL,Notification regarding unquoted securities - JHX,0,2924-03079730-2A1666962,14KB,2026-04-24T21:32:51Z
STO,2026-04-16T07:29:46,NOTICE OF MEETING,Results of Meeting,0,2924-03079637-2A1666929,204KB,2026-04-24T21:32:51Z
STO,2026-04-16T06:37:56,SECURITY HOLDER DETAILS,Change in substantial holding,0,2924-03079602-2A1666906,1117KB,2026-04-24T21:32:51Z
QAN,2026-04-16T06:28:46,SECURITY HOLDER DETAILS,Becoming a substantial holder,0,2924-03079593-2A1666903,238KB,2026-04-24T21:32:51Z
WBC,2026-04-16T01:49:44,ISSUED CAPITAL,Notification regarding unquoted securities - WBC,0,2924-03079495-2A1666852,17KB,2026-04-24T21:32:51Z
WBC,2026-04-16T01:45:39,ISSUED CAPITAL,Notification regarding unquoted securities - WBC,0,2924-03079493-2A1666851,18KB,2026-04-24T21:32:51Z
WBC,2026-04-16T01:42:44,ISSUED CAPITAL,Notification of cessation of securities - WBC,0,2924-03079491-2A1666850,14KB,2026-04-24T21:32:51Z
STO,2026-04-16T00:27:09,CHAIRMAN'S ADDRESS,2026 Santos AGM Addresses,0,2924-03079464-2A1666835,255KB,2026-04-24T21:32:51Z
COL,2026-04-15T22:17:58,SECURITY HOLDER DETAILS,Change in substantial holding,0,2924-03079264-3A691424,2191KB,2026-04-24T21:32:51Z
ALL,2026-04-15T07:20:32,ISSUED CAPITAL,Notification of cessation of securities - ALL,0,2924-03079185-2A1666718,12KB,2026-04-24T21:32:51Z
ALL,2026-04-15T07:11:17,ISSUED CAPITAL,Notification regarding unquoted securities - ALL,0,2924-03079179-2A1666714,14KB,2026-04-24T21:32:51Z
ALL,2026-04-15T06:47:22,ISSUED CAPITAL,Notification regarding unquoted securities - ALL,0,2924-03079159-2A1666704,15KB,2026-04-24T21:32:51Z
XRO,2026-04-15T06:43:47,SECURITY HOLDER DETAILS,Change in substantial holding,0,2924-03079155-3A691403,282KB,2026-04-24T21:32:51Z
ALL,2026-04-15T06:39:22,ISSUED CAPITAL,Notification regarding unquoted securities - ALL,0,2924-03079150-2A1666700,15KB,2026-04-24T21:32:51Z
WBC,2026-04-15T06:32:47,SECURITY HOLDER DETAILS,Appendix 3Y - Pip Greenwood,0,2924-03079145-2A1666696,494KB,2026-04-24T21:32:51Z
ALL,2026-04-15T06:30:47,ISSUED CAPITAL,Notification regarding unquoted securities - ALL,0,2924-03079144-2A1666695,15KB,2026-04-24T21:32:51Z
NEM,2026-04-15T00:58:50,PROGRESS REPORT,Seismic Activity Near Cadia,0,2924-03078998-3A691373,104KB,2026-04-24T21:32:51Z
ORG,2026-04-14T23:35:25,ISSUED CAPITAL,Notification of cessation of securities - ORG,0,2924-03078945-2A1666583,14KB,2026-04-24T21:32:51Z
ORG,2026-04-14T23:34:10,ISSUED CAPITAL,Notification regarding unquoted securities - ORG,0,2924-03078943-2A1666581,14KB,2026-04-24T21:32:51Z
ORG,2026-04-14T23:33:55,ISSUED CAPITAL,Notification regarding unquoted securities - ORG,0,2924-03078940-2A1666580,16KB,2026-04-24T21:32:51Z
FMG,2026-04-14T07:43:54,ISSUED CAPITAL,Notification regarding unquoted securities - FMG,0,2924-03078713-6A1320425,16KB,2026-04-24T21:32:51Z
FMG,2026-04-14T07:40:39,ISSUED CAPITAL,Notification regarding unquoted securities - FMG,0,2924-03078711-6A1320424,16KB,2026-04-24T21:32:51Z
FMG,2026-04-14T07:40:19,ISSUED CAPITAL,Notification of cessation of securities - FMG,0,2924-03078710-6A1320423,12KB,2026-04-24T21:32:51Z
BHP,2026-04-13T07:07:00,ISSUED CAPITAL,Notification of cessation of securities - BHP,0,2924-03078210-3A691232,12KB,2026-04-24T21:32:51Z
RMD,2026-04-13T06:50:50,SECURITY HOLDER DETAILS,Becoming a substantial holder,0,2924-03078196-2A1666211,235KB,2026-04-24T21:32:51Z
GMG,2026-04-13T06:33:05,ISSUED CAPITAL,Notification of cessation of securities - GMG,0,2924-03078183-2A1666205,12KB,2026-04-24T21:32:51Z
CBA,2026-04-13T05:20:34,SECURITY HOLDER DETAILS,Change in substantial holding from CBA,0,2924-03078150-2A1666177,165KB,2026-04-24T21:32:51Z
XRO,2026-04-13T02:13:28,ISSUED CAPITAL,Notification of cessation of securities - XRO,0,2924-03078104-3A691215,15KB,2026-04-24T21:32:51Z
BHP,2026-04-12T22:28:26,DISTRIBUTION ANNOUNCEMENT,Update - Dividend/Distribution - BHP,0,2924-03077896-3A691161,20KB,2026-04-24T21:32:51Z
SUN,2026-04-12T22:16:31,ISSUED CAPITAL,Update - Notification of buy-back - SUN,0,2924-03077821-2A1666045,15KB,2026-04-24T21:32:51Z
