member_name,party,state,chamber,ticker,transaction_type,amount_range,transaction_date,disclosure_date,asset_description
Mark Alford,R,MO,House,,,,,2026-03-31,[House PTR Filing - doc_id: 20034201] (no transactions parsed)
Richard W. Allen,R,GA,House,,,,,2026-02-17,[House PTR Filing - doc_id: 20033945] (no transactions parsed)
Jake Auchincloss,D,MA,House,,,,,2026-02-19,[House PTR Filing - doc_id: 20034024] (no transactions parsed)
Donald Sternoff Beyer Jr,,VA,House,,,,,2026-01-31,[House PTR Filing - doc_id: 20033903] (no transactions parsed)
Sheri Biggs,R,SC,House,,,,,2026-02-05,[House PTR Filing - doc_id: 20033927] (no transactions parsed)
Rob Bresnahan,,PA,House,,,,,2026-02-22,[House PTR Filing - doc_id: 20034044] (no transactions parsed)
Ed Case,D,HI,House,,,,,2026-03-14,[House PTR Filing - doc_id: 20034176] (no transactions parsed)
Gilbert Cisneros,D,CA,House,,,,,2026-02-13,[House PTR Filing - doc_id: 20033983] (no transactions parsed)
Steve Cohen,,TN,House,,,,,2026-02-09,[House PTR Filing - doc_id: 20033889] (no transactions parsed)
Warren Davidson,R,OH,House,,,,,2026-03-25,[House PTR Filing - doc_id: 20034223] (no transactions parsed)
April McClain Delaney,D,MD,House,,,,,2026-02-02,[House PTR Filing - doc_id: 20033921] (no transactions parsed)
Suzan K. DelBene,,WA,House,,,,,2026-03-12,[House PTR Filing - doc_id: 20034155] (no transactions parsed)
Debbie Dingell,,MI,House,,,,,2026-02-23,[House PTR Filing - doc_id: 20034035] (no transactions parsed)
Lloyd Doggett,D,TX,House,,,,,2026-03-05,[House PTR Filing - doc_id: 20034132] (no transactions parsed)
Byron Donalds,R,FL,House,,,,,2026-02-12,[House PTR Filing - doc_id: 20033981] (no transactions parsed)
"Neal Patrick MD, Facs Dunn",,FL,House,,,,,2026-03-17,[House PTR Filing - doc_id: 20034114] (no transactions parsed)
Dwight Evans,D,PA,House,,,,,2026-04-20,[House PTR Filing - doc_id: 20034379] (no transactions parsed)
Cleo Fields,D,LA,House,,,,,2026-02-03,[House PTR Filing - doc_id: 20033858] (no transactions parsed)
"Charles J. ""Chuck"" Fleischmann",,TN,House,,,,,2026-02-09,[House PTR Filing - doc_id: 8221321] (no transactions parsed)
Virginia Foxx,R,NC,House,,,,,2026-02-06,[House PTR Filing - doc_id: 20033947] (no transactions parsed)
Scott Scott Franklin,R,FL,House,,,,,2026-02-23,[House PTR Filing - doc_id: 20034050] (no transactions parsed)
Laura Friedman,D,CA,House,,,,,2026-04-17,[House PTR Filing - doc_id: 20034355] (no transactions parsed)
Josh Gottheimer,D,NJ,House,,,,,2026-02-26,[House PTR Filing - doc_id: 20033930] (no transactions parsed)
Michael Patrick Guest,,MS,House,,,,,2026-02-17,[House PTR Filing - doc_id: 20033944] (no transactions parsed)
Kevin Hern,R,OK,House,,,,,2026-02-18,[House PTR Filing - doc_id: 20034012] (no transactions parsed)
Jonathan Jackson,D,IL,House,,,,,2026-02-23,[House PTR Filing - doc_id: 20033929] (no transactions parsed)
Pramila Jayapal,,WA,House,,,,,2026-03-15,[House PTR Filing - doc_id: 20034160] (no transactions parsed)
Thomas H. Kean Jr,R,NJ,House,,,,,2026-02-19,[House PTR Filing - doc_id: 20034025] (no transactions parsed)
William R. Keating,,MA,House,,,,,2026-02-06,[House PTR Filing - doc_id: 20033946] (no transactions parsed)
Mike Kelly,,PA,House,,,,,2026-02-12,[House PTR Filing - doc_id: 20033991] (no transactions parsed)
Rohit Khanna,,CA,House,,,,,2026-02-06,[House PTR Filing - doc_id: 8221322] (no transactions parsed)
Rick Larsen,D,WA,House,,,,,2026-04-15,[House PTR Filing - doc_id: 20034351] (no transactions parsed)
Robert E. Latta,R,OH,House,,,,,2026-04-24,[House PTR Filing - doc_id: 20034401] (no transactions parsed)
Julia Letlow,R,LA,House,,,,,2026-03-12,[House PTR Filing - doc_id: 20034106] (no transactions parsed)
Michael T. McCaul,,TX,House,,,,,2026-02-11,[House PTR Filing - doc_id: 8221326] (no transactions parsed)
Lisa McClain,,MI,House,,,,,2026-02-11,[House PTR Filing - doc_id: 20033964] (no transactions parsed)
Jennifer McClellan,D,VA,House,,,,,2026-04-16,[House PTR Filing - doc_id: 20034311] (no transactions parsed)
Richard Dean Dr McCormick,R,GA,House,,,,,2026-04-07,[House PTR Filing - doc_id: 20033648] (no transactions parsed)
John McGuire,,VA,House,,,,,2026-02-10,[House PTR Filing - doc_id: 20033956] (no transactions parsed)
Daniel Meuser,R,PA,House,,,,,2026-02-17,[House PTR Filing - doc_id: 20034016] (no transactions parsed)
Max Miller,,OH,House,,,,,2026-01-29,[House PTR Filing - doc_id: 20033881] (no transactions parsed)
Tim Moore,R,NC,House,,,,,2026-02-20,[House PTR Filing - doc_id: 20034034] (no transactions parsed)
Kelly Louise Morrison,D,MN,House,,,,,2026-02-04,[House PTR Filing - doc_id: 20033928] (no transactions parsed)
Jared Moskowitz,D,FL,House,,,,,2026-03-30,[House PTR Filing - doc_id: 20034129] (no transactions parsed)
Scott H. Peters,,CA,House,,,,,2026-02-25,[House PTR Filing - doc_id: 20034010] (no transactions parsed)
August Lee Pfluger II,R,TX,House,,,,,2026-02-11,[House PTR Filing - doc_id: 20033920] (no transactions parsed)
Harold Dallas Rogers,,KY,House,,,,,2026-02-13,[House PTR Filing - doc_id: 8221332] (no transactions parsed)
Maria Elvira Salazar,R,FL,House,,,,,2026-04-21,[House PTR Filing - doc_id: 20033993] (no transactions parsed)
Austin Scott,R,GA,House,,,,,2026-03-12,[House PTR Filing - doc_id: 20032279] (no transactions parsed)
Pete Sessions,R,TX,House,,,,,2026-03-09,[House PTR Filing - doc_id: 20033500] (no transactions parsed)
Terri A. Sewell,D,AL,House,,,,,2026-04-21,[House PTR Filing - doc_id: 20034384] (no transactions parsed)
Jefferson Shreve,,IN,House,,,,,2026-03-14,[House PTR Filing - doc_id: 20034084] (no transactions parsed)
Greg Steube,R,FL,House,,,,,2026-04-14,[House PTR Filing - doc_id: 20034345] (no transactions parsed)
Thomas Suozzi,D,NY,House,,,,,2026-03-17,[House PTR Filing - doc_id: 20034188] (no transactions parsed)
David J. Taylor,R,OH,House,,,,,2026-02-02,[House PTR Filing - doc_id: 20033916] (no transactions parsed)
Tony Wied,,WI,House,,,,,2026-03-09,[House PTR Filing - doc_id: 8221360] (no transactions parsed)
Rudy C. Yakym III,,IN,House,,,,,2026-04-06,[House PTR Filing - doc_id: 20034298] (no transactions parsed)
Robert E. Latta,R,OH,House,FMAO,buy,"$1,001 - $15,000",2026-04-20,,DIVIDEND REINVESTMENT
Terri A. Sewell,D,AL,House,TPR,sell,"$15,001 - $50,000",2026-03-25,,
Maria Elvira Salazar,R,FL,House,FDX,buy,"$1,001 - $15,000",2026-03-25,,
Terri A. Sewell,D,AL,House,GEHC,sell,"$1,001 - $15,000",2026-03-25,,
Maria Elvira Salazar,R,FL,House,URI,buy,"$1,001 - $15,000",2026-03-25,,
Daniel Meuser,R,PA,House,NVDA,sell,"$1,001 - $15,000",2026-03-25,,
Maria Elvira Salazar,R,FL,House,GE,buy,"$1,001 - $15,000",2026-03-24,,
Maria Elvira Salazar,R,FL,House,AMGN,buy,"$15,001 - $50,000",2026-03-24,,
Maria Elvira Salazar,R,FL,House,HON,buy,"$15,001 - $50,000",2026-03-24,,
Maria Elvira Salazar,R,FL,House,RH,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,BA,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,C,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,GLW,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,GS,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,CSCO,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,ULTA,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,NVR,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,VG,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,PTON,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,WHR,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,FDX,buy,"$15,001 - $50,000",2026-03-19,,
James E. Banks,R,,Senate,SBUX,sell,"$1,001 - $15,000",2026-04-15,,
Cleo Fields,D,LA,House,TSM,buy,"$1,001 - $15,000",2026-04-09,,
Dwight Evans,D,PA,House,MU,sell,"$15,001 - $50,000",2026-03-24,,
Laura Friedman,D,CA,House,ABT,exchange,"$1,001 - $15,000",2026-03-24,,EXACT SCIENCES CORP STOCK (EXAS) EXCHANGED FOR ABBOT LABORATORIES (ABT) STOCK FOLLOWING MERGER.
Jennifer Mcclellan,D,VA,House,VZ,sell,"$100,001 - $250,000",2026-04-07,,
Sheri Biggs,R,SC,House,IBIT,buy,"$100,001 - $250,000",2026-03-04,,PROFESSIONALLY MANAGED ACCOUNT.
Rick Larsen,D,WA,House,WAB,buy,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,PAYX,sell,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,AXP,sell,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,BR,sell,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,AWK,sell,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,NEE,buy,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,CASY,buy,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING FILING ID #20034351
Rick Larsen,D,WA,House,SNDA,sell,"$1,001 - $15,000",2026-04-07,,"CNL PROPERTIES DIRECTORS EXECUTED A SALE OF ASSETS AND SONIDA LIVING, A COMMON STOCK-BASED COMPANY,"
Rick Larsen,D,WA,House,CARR,buy,"$1,001 - $15,000",2026-04-07,,ADVISOR-DRIVEN QUARTERLY REBALANCING
Rick Larsen,D,WA,House,SNDA,exchange,"$1,001 - $15,000",2026-03-31,,"CNL PROPERTIES DIRECTORS EXECUTED A SALE OF ASSETS AND SONIDA LIVING, A COMMON STOCK-BASED COMPANY,"
August Lee Pfluger Ii,R,TX,House,VNOM,buy,"$15,001 - $50,000",2026-03-13,,
August Lee Pfluger Ii,R,TX,House,KRP,buy,"$15,001 - $50,000",2026-03-13,,
August Lee Pfluger Ii,R,TX,House,UHALB,buy,"$15,001 - $50,000",2026-03-13,,
August Lee Pfluger Ii,R,TX,House,EPD,buy,"$15,001 - $50,000",2026-03-13,,
August Lee Pfluger Ii,R,TX,House,DMLP,buy,"$15,001 - $50,000",2026-03-13,,
August Lee Pfluger Ii,R,TX,House,BRK.B,buy,"$15,001 - $50,000",2026-03-13,,
John Boozman,R,,Senate,TPYP,sell,"$1,001 - $15,000",2026-03-20,,
John Boozman,R,,Senate,JNJ,sell,"$1,001 - $15,000",2026-03-19,,
John Boozman,R,,Senate,BBEU,sell,"$15,001 - $50,000",2026-03-19,,
John Boozman,R,,Senate,SPYM,buy,"$1,001 - $15,000",2026-03-20,,
John Boozman,R,,Senate,NVDA,buy,"$1,001 - $15,000",2026-03-19,,
John Boozman,R,,Senate,FTGC,buy,"$1,001 - $15,000",2026-03-19,,
John Boozman,R,,Senate,VEA,buy,"$1,001 - $15,000",2026-03-19,,
John Boozman,R,,Senate,ARES,buy,"$1,001 - $15,000",2026-03-13,,
John Boozman,R,,Senate,MSFT,buy,"$1,001 - $15,000",2026-03-05,,
Greg Steube,R,FL,House,571903BM4,buy,"$15,001 - $50,000",2026-04-08,,CORPORATE BOND
Greg Steube,R,FL,House,IONQ,buy,"$1,001 - $15,000",2026-03-18,,
Thomas H. Kean Jr,R,NJ,House,AMCR,buy,"$1,001 - $15,000",2026-03-31,,
Thomas H. Kean Jr,R,NJ,House,SPGI,sell,"$15,001 - $50,000",2026-03-26,,
Thomas H. Kean Jr,R,NJ,House,FCNCA,sell,"$1,001 - $15,000",2026-03-26,,
Thomas H. Kean Jr,R,NJ,House,PEP,sell,"$15,001 - $50,000",2026-03-26,,
Thomas H. Kean Jr,R,NJ,House,LIN,buy,"$1,001 - $15,000",2026-03-26,,
Thomas H. Kean Jr,R,NJ,House,CB,sell,"$15,001 - $50,000",2026-03-26,,
Thomas H. Kean Jr,R,NJ,House,JNJ,sell,"$1,001 - $15,000",2026-03-26,,
Thomas H. Kean Jr,R,NJ,House,WAT,sell,"$1,001 - $15,000",2026-03-10,,
Shelley Moore Capito,R,,Senate,MA,buy,"$1,001 - $15,000",2026-03-28,,
Sheldon Whitehouse,D,,Senate,PEP,sell,"$1,001 - $15,000",2026-03-30,,
Josh Gottheimer,D,NJ,House,MSFT,buy,"$500,001 - $1,000,000",2026-03-25,,CALL OPTIONS; STRIKE PRICE $320; EXPIRES 06/18/2026
Josh Gottheimer,D,NJ,House,CCI,sell,"$1,001 - $15,000",2026-03-24,,
Josh Gottheimer,D,NJ,House,FN,buy,"$1,001 - $15,000",2026-03-24,,
Josh Gottheimer,D,NJ,House,XNGSY,sell,"$1,001 - $15,000",2026-03-24,,
Byron Donalds,R,FL,House,TTD,sell,"$1,001 - $15,000",2026-03-20,,
Byron Donalds,R,FL,House,NFLX,buy,"$1,001 - $15,000",2026-03-20,,
Jonathan Jackson,D,IL,House,BP,buy,"$1,001 - $15,000",2026-03-20,,
Jonathan Jackson,D,IL,House,BP,buy,"$15,001 - $50,000",2026-03-19,,
Jonathan Jackson,D,IL,House,ORLY,sell,"$15,001 - $50,000",2026-03-19,,
Byron Donalds,R,FL,House,PYPL,buy,"$1,001 - $15,000",2026-03-13,,
Josh Gottheimer,D,NJ,House,ALC,sell,"$1,001 - $15,000",2026-03-12,,
Josh Gottheimer,D,NJ,House,HDB,sell,"$1,001 - $15,000",2026-03-12,,
Josh Gottheimer,D,NJ,House,LZB,sell,"$1,001 - $15,000",2026-03-12,,
Josh Gottheimer,D,NJ,House,INTA,sell,"$1,001 - $15,000",2026-03-12,,
Josh Gottheimer,D,NJ,House,IFNNY,sell,"$1,001 - $15,000",2026-03-12,,
Josh Gottheimer,D,NJ,House,SE,buy,"$1,001 - $15,000",2026-03-10,,
Jonathan Jackson,D,IL,House,AMZN,sell,"$1,001 - $15,000",2026-03-09,,
Josh Gottheimer,D,NJ,House,NOW,buy,"$1,001 - $15,000",2026-03-06,,
Josh Gottheimer,D,NJ,House,COLB,sell,"$1,001 - $15,000",2026-03-05,,
Josh Gottheimer,D,NJ,House,FWRG,sell,"$1,001 - $15,000",2026-03-05,,
Josh Gottheimer,D,NJ,House,PHR,sell,"$1,001 - $15,000",2026-03-05,,
Josh Gottheimer,D,NJ,House,APD,buy,"$1,001 - $15,000",2026-03-05,,
Josh Gottheimer,D,NJ,House,NTES,sell,"$1,001 - $15,000",2026-03-05,,
Josh Gottheimer,D,NJ,House,CBZ,sell,"$1,001 - $15,000",2026-03-05,,
Gilbert Cisneros,D,CA,House,VIAV,sell,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,FLEX,sell,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,DASH,buy,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,SCHW,sell,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,LPLA,buy,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,MTSI,sell,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,AEIS,sell,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,FSV,buy,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,BABAF,buy,"$1,001 - $15,000",2026-03-27,,TICKER 9988 HK
Gilbert Cisneros,D,CA,House,SARO,buy,"$1,001 - $15,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,FN,buy,"$15,001 - $50,000",2026-03-27,,
Gilbert Cisneros,D,CA,House,COHR,buy,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,GLW,buy,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,ANET,sell,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,MELI,sell,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,AVGO,sell,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,BRK.B,sell,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,TDG,sell,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,MU,buy,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,NVDA,sell,"$1,001 - $15,000",2026-03-25,,
Gilbert Cisneros,D,CA,House,ADM,sell,"$50,001 - $100,000",2026-03-20,,
Gilbert Cisneros,D,CA,House,MIAX,buy,"$15,001 - $50,000",2026-03-20,,
Richard Dean Dr Mccormick,R,GA,House,ADI,sell,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,MSFT,buy,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,LHX,sell,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,HD,buy,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,BLK,buy,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,ADP,buy,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,ADP,sell,"$1,001 - $15,000",2026-03-19,,
Gilbert Cisneros,D,CA,House,BBIO,buy,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,JNJ,sell,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,UNH,buy,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,NEE,sell,"$1,001 - $15,000",2026-03-19,,
Richard Dean Dr Mccormick,R,GA,House,ABT,buy,"$1,001 - $15,000",2026-03-19,,
Gilbert Cisneros,D,CA,House,APP,sell,"$15,001 - $50,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,FSV,buy,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,DASH,buy,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,WRB,sell,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,BBIO,buy,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,TEL,buy,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,WAT,buy,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,DASH,sell,"$1,001 - $15,000",2026-03-18,,
Gilbert Cisneros,D,CA,House,TDG,buy,"$1,001 - $15,000",2026-03-16,,
Cleo Fields,D,LA,House,GOOG,buy,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,AMZN,buy,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,PLTR,sell,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,BRK.B,sell,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,AMZN,sell,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,CDRE,buy,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,PLTR,buy,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,MELI,buy,"$1,001 - $15,000",2026-03-16,,
Gilbert Cisneros,D,CA,House,LULU,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,FTNT,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,AMZN,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,KEY,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,LLY,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,CTSH,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,IT,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,IBM,sell,"$15,001 - $50,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,EPAM,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,FIS,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,UPS,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,WFC,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,DASH,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,CAG,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,HOOD,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,CHTR,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,PYPL,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,EG,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,AMD,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,TTD,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,CSGP,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,TAP,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,OMC,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,NVDA,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,CI,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,TYL,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,VRSN,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,PANW,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,FDS,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,FISV,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,PAYC,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,DDOG,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,VICI,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,APP,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,PLTR,sell,"$15,001 - $50,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,TSLA,sell,"$15,001 - $50,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,FICO,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,SNDK,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,UNH,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,BKNG,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,FOX,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,UBER,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,MSFT,buy,"$15,001 - $50,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,PSKY,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,GDDY,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,ACN,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,CRWD,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,ROP,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,PFE,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,APO,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,KVUE,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,SQ,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,WDAY,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,ZTS,sell,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,EFX,buy,"$1,001 - $15,000",2026-03-13,,
Gilbert Cisneros,D,CA,House,DBRG,sell,"$50,001 - $100,000",2026-03-12,,
Gilbert Cisneros,D,CA,House,VIAV,sell,"$1,001 - $15,000",2026-03-09,,
Gilbert Cisneros,D,CA,House,FSS,buy,"$1,001 - $15,000",2026-03-09,,
Gilbert Cisneros,D,CA,House,HALO,buy,"$1,001 - $15,000",2026-03-09,,
Gilbert Cisneros,D,CA,House,SKY,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,MTSI,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,ARQT,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,PATK,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,NWE,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,AZTA,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,COCO,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,RBC,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,CRNX,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,AEIS,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,UFPI,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,CSW,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,PRIM,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,EPAC,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,SMTC,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,IDA,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,RARE,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,BBIO,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,VCYT,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,CENTA,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,GMED,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,SUPN,buy,"$1,001 - $15,000",2026-03-03,,
Gilbert Cisneros,D,CA,House,CATY,buy,"$1,001 - $15,000",2026-03-03,,
